月份,固定资产投资完成额_累计值,固定资产投资完成额_累计增长,建筑安装工程固定资产投资完成额_累计值,建筑安装工程固定资产投资完成额_累计增长,设备工器具购置固定资产投资完成额_累计值,设备工器具购置固定资产投资完成额_累计增长,其他费用固定资产投资完成额_累计值,其他费用固定资产投资完成额_累计增长,地区
201604,5791.9026,14.6,4301.7282,15.5,765.0173,7.2,725.1571,17.8,湖南省
201605,8236.4665,14.5,6188.699,17.1,1047.8576,1.2,999.9099,14.7,湖南省
201606,11014.1116,14.1,8225.4499,16.3,1374.0446,-0.1,1414.6171,17.1,湖南省
201607,13103.4355,13.7,9812.7143,15.9,1628.0791,-1.2,1662.6421,18.1,湖南省
201608,15560.8526,13.1,11714.3375,15.8,1925.1806,-3.9,1921.3345,17.1,湖南省
201609,18384.7907999999,13.4,13791.5341,16.1999999999999,2298.63059999999,-5.2,2294.62609999999,20.0,湖南省
201610,21014.326,13.6,15777.2386,16.4,2636.7715,-6.0,2600.3159,21.9,湖南省
201611,24110.4138,13.5,18103.7766,16.5,3061.9122,-7.6,2944.725,23.3,湖南省
201612,27688.4452,13.8,20718.637,17.3,3676.179,-6.8,3293.6292,21.3,湖南省
201701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,湖南省
201702,1778.513,12.8,1443.2581,21.4,175.4591,-5.6,159.7958,-20.6,湖南省
201703,3949.3259,12.3,3145.1687,19.4,429.4975,0.2,374.6597,-17.4,湖南省
201704,6496.6047,12.2,5089.2188,18.3,760.2606,-0.6,647.1253,-10.8,湖南省
201705,9248.2554,12.3,7212.487,16.5,1087.9027,3.8,947.8657,-5.2,湖南省
201706,12385.1169,12.4,9614.3069,16.9,1495.7846,8.9,1275.0254,-9.9,湖南省
201707,14749.5891,12.6,11436.6804,16.5,1819.7095,11.8,1493.1992,-10.2,湖南省
201708,17476.8148,12.3,13556.1656,15.7,2190.212,13.8,1730.4372,-9.9,湖南省
201709,20709.5318,12.6,16033.0764,16.3,2625.7645,14.2,2050.6909,-10.6,湖南省
201710,23689.9251,12.7,18342.5317,16.3,3018.8021,14.5,2328.5913,-10.4,湖南省
201711,27221.6576,12.9,21078.6102,16.4,3490.6089,14.0,2652.4385,-9.9,湖南省
201712,31328.0788,13.1,24057.8503,16.1,4229.5679,15.1,3040.6606,-7.7,湖南省
201801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,湖南省
201802,0.0,11.6,0.0,8.5,0.0,44.2,0.0,12.6,湖南省
201803,0.0,11.9,0.0,9.5,0.0,42.8,0.0,5.7,湖南省
201804,0.0,11.6,0.0,11.0,0.0,29.6,0.0,0.2,湖南省
201805,0.0,10.5,0.0,9.7,0.0,33.7,0.0,-2.2,湖南省
201806,0.0,10.3,0.0,9.0,0.0,33.8,0.0,0.0,湖南省
201807,0.0,10.4,0.0,8.7,0.0,32.6,0.0,3.4,湖南省
201808,0.0,10.2,0.0,8.5,0.0,28.5,0.0,6.7,湖南省
201809,0.0,10.0,0.0,8.0,0.0,27.3,0.0,7.7,湖南省
201810,0.0,10.1,0.0,8.3,0.0,27.6,0.0,7.6,湖南省
201811,0.0,10.0,0.0,7.8,0.0,31.0,0.0,7.5,湖南省
201812,0.0,10.0,0.0,7.9,0.0,26.9,0.0,9.2,湖南省
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
200802,752.0766,26.4,493.4027,21.2,109.2538,9.9,149.4201,69.4,广东省
200803,1409.6274,22.1,917.6363,24.0,216.0095,-1.8,275.9816,42.3,广东省
200804,1999.3898,20.9,1297.7908,24.7,339.5242,5.8,362.0748,24.1,广东省
200805,2647.5751,18.0,1724.9573,23.4,447.9832,-4.6,474.6346,25.8,广东省
200806,3519.5614,19.0,2256.8303,22.0,612.7318,1.4,649.9993,28.8,广东省
200807,4126.8041,17.1,2641.9186,19.2,728.0967,4.8,756.7888,23.5,广东省
200808,4788.1428,18.5,3069.9817,20.6,848.7909,8.0,869.3702,22.6,广东省
200809,5578.8114,20.5,3562.5196,22.9,1009.5784,12.3,1006.7134,20.9,广东省
200810,6379.0008,18.1,4046.8276,18.7,1158.59,12.0,1173.5832,22.4,广东省
200811,7220.2684,16.6,4565.0408,16.3,1349.1359,13.4,1306.0917,21.5,广东省
200812,8602.8881,16.7,5483.5823,19.1,1618.8112,10.8,1500.4946,15.0,广东省
200901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
200902,832.02,10.6,582.04,18.0,133.2,21.9,116.78,-21.8,广东省
200903,1550.1293,10.0,1081.2306,17.8,245.9658,13.9,222.9329,-19.2,广东省
200904,2263.6884,13.2,1570.547,21.0,370.0468,9.0,323.0946,-10.8,广东省
200905,3020.8876,14.1,2108.1917,22.2,482.4728,7.7,430.2231,-9.4,广东省
200906,4017.2282,14.1,2775.264,23.0,639.2743,4.3,602.6899,-7.3,广东省
200907,4724.1925,14.5,3264.8858,23.6,739.5162,1.6,719.7905,-4.9,广东省
200908,5527.2112,15.4,3825.6399,24.6,843.8603,-0.6,857.711,-1.3,广东省
200909,6483.0733,16.2,4447.4808,24.8,990.96,-1.8,1044.6325,3.8,广东省
200910,7457.1139,16.9,5062.7944,25.1,1175.3778,1.4,1218.9417,3.9,广东省
200911,8515.2926,17.9,5743.154,25.8,1360.5955,0.8,1411.5431,8.1,广东省
200912,10238.4565,18.5,6808.8334,24.5,1657.1809,1.7,1772.4422,14.9,广东省
201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201002,980.2166,17.8,684.6564,17.6,141.8778,6.5,153.6824,31.6,广东省
201003,1847.0997,19.2,1311.7836,21.3,249.6902,1.5,285.6259,28.1,广东省
201004,2697.9251,19.2,1894.641,20.6,342.1687,-7.5,461.1154,42.7,广东省
201005,3715.7931,23.0,2583.8576,22.6,477.329,-1.1,654.6065,52.2,广东省
201006,4922.7991,22.5,3323.4127,19.8,691.7671,8.2,907.6193,50.6,广东省
201007,5785.9519,22.5,3897.8041,19.4,823.4995,11.4,1064.6483,47.9,广东省
201008,6777.7225,22.6,4509.2833,17.9,994.9633,17.9,1273.4759,48.5,广东省
201009,7930.2655,23.5,5300.6687,19.2,1175.185,18.6,1454.4118,39.2,广东省
201010,9120.046,23.4,6066.64,19.8,1384.2005,17.8,1669.2055,36.9,广东省
201011,10414.4678,23.3,6885.8672,19.9,1653.4884,21.5,1875.1122,32.8,广东省
201012,12599.6712,23.2,8173.6681,20.1,2079.1093,25.5,2346.8938,32.7,广东省
201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201102,1274.4165,13.8,892.5583,17.0,210.4344,16.3,171.4238,-2.6,广东省
201103,2434.2456,13.6,1654.8283,12.8,377.3487,9.3,402.0686,21.5,广东省
201104,3614.0791,15.5,2369.9544,11.9,621.3015,29.4,622.8232,17.8,广东省
201105,5000.7942,16.1,3265.0417,12.8,866.6667,30.3,869.0858,16.1,广东省
201106,6731.4096,16.7,4396.3801,16.4,1158.0202,21.3,1177.0093,13.5,广东省
201107,7924.0886,17.1,5171.5967,16.9,1375.0097,21.9,1377.4822,13.8,广东省
201108,9279.0942,17.4,6005.4278,17.4,1642.0336,22.1,1631.6328,13.4,广东省
201109,10934.3085,17.5,7075.8408,17.3,1955.5816,20.8,1902.8861,15.2,广东省
201110,12578.6941,17.7,8201.3024,18.8,2231.4307,18.0,2145.961,13.6,广东省
201111,14319.3974,17.5,9376.1829,19.8,2535.9274,13.5,2407.2871,13.0,广东省
201112,16688.4423,16.4,10914.452,20.6,2927.4441,8.8,2846.5462,9.4,广东省
201201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201202,1438.039,12.8,1021.0471,14.4,223.9622,6.4,193.0297,12.6,广东省
201203,2750.0609,13.0,1891.2618,14.3,413.1737,9.5,445.6254,10.8,广东省
201204,3983.7709,10.2,2717.6097,14.7,630.0808,1.4,636.0804,2.1,广东省
201205,5436.9844,9.1,3646.3796,11.7,901.1051,4.0,889.4997,2.3,广东省
201206,7344.8623,9.5,4830.36,9.9,1281.1381,10.6,1233.3642,4.8,广东省
201207,8614.4252,9.5,5689.6948,10.0,1488.2103,8.2,1436.5201,4.3,广东省
201208,10166.3163,9.6,6698.8401,11.5,1736.8467,5.8,1730.6295,6.1,广东省
201209,12029.0039,10.1,7938.6605,12.2,2047.6723,4.7,2042.6711,7.3,广东省
201210,13578.295,10.1,8983.6782,10.5,2293.0845,2.8,2301.5323,7.2,广东省
201211,15532.8927,10.2,10230.969,9.1,2626.1614,3.6,2675.7623,11.2,广东省
201212,18248.0405,11.0,12036.6993,11.7,3130.6804,6.9,3080.6608,10.0,广东省
201301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201302,1653.8933,15.0,1220.5932,19.5,230.9654,3.1,202.3347,4.8,广东省
201303,3213.6634,16.9,2286.387,20.9,473.6049,14.6,453.6715,1.8,广东省
201304,4674.2987,17.3,3271.2914,20.4,711.7525,13.0,691.2548,8.7,广东省
201305,6331.2794,17.1,4360.9869,19.6,1014.74,12.6,955.5525,7.4,广东省
201306,8510.7202,17.0,5767.1876,19.4,1388.3584,8.4,1355.1742,9.9,广东省
201307,10032.5963,17.0,6824.3089,19.9,1634.1597,9.8,1574.1277,9.6,广东省
201308,11927.3509,17.3,8044.6875,20.1,1994.6264,14.8,1888.037,9.1,广东省
201309,14225.8808,17.6,9492.5344,18.1,2421.3682,18.2,2311.9782,13.2,广东省
201310,16247.6372,18.1,10910.5314,21.4,2720.8372,18.7,2616.2686,13.7,广东省
201311,18571.33,18.2,12370.3156,20.9,3122.2459,18.9,3078.7685,15.1,广东省
201312,21794.9786,18.3,14510.65,20.1,3703.1626,20.7,3581.166,15.5,广东省
201401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201402,1916.4732,17.4,1442.9691,19.8,213.4654,-7.6,260.0387,28.5,广东省
201403,3756.6261,17.3,2716.3925,18.8,500.8631,5.8,539.3705,18.9,广东省
201404,5477.2492,17.2,3912.9728,19.6,750.5111,5.4,813.7653,17.7,广东省
201405,7492.4989,17.3,5288.2266,21.3,1081.197,6.5,1123.0753,17.5,广东省
201406,9983.2337,17.3,6941.3404,20.4,1490.4761,7.4,1551.4172,14.5,广东省
201407,11780.8699,17.1,8157.1744,19.1,1729.5815,5.8,1894.114,20.3,广东省
201408,13935.9582,16.5,9625.9319,19.7,2068.3699,3.7,2241.6564,18.7,广东省
201409,16759.5087,16.0,11490.7134,17.1,2562.9533,5.8,2705.842,17.0,广东省
201410,19175.157,15.8,13113.1561,18.2,2944.5841,8.2,3117.4168,19.2,广东省
201411,21911.4925,15.7,14883.7151,18.1,3449.0588,10.5,3578.7186,16.2,广东省
201412,25843.057,15.9,17387.0374,16.9,4256.905,11.7,4199.1146,15.4,广东省
201501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201502,2278.9781,18.9,1681.397,16.5,280.9828,31.6,316.5983,21.8,广东省
201503,4496.757,19.7,3206.0609,18.0,614.5545,22.7,676.1416,25.4,广东省
201504,6488.7972,17.5,4530.9761,15.8,964.2709,28.5,993.5502,22.1,广东省
201505,8779.5289,17.2,6049.2529,14.4,1378.8827,27.5,1351.3933,20.3,广东省
201506,11899.6013,17.3,8096.3279,14.6,1937.5993,30.0,1865.6741,20.3,广东省
201507,14074.6261,17.5,9534.3575,16.9,2326.9278,34.5,2213.3408,16.9,广东省
201508,16634.2573,17.3,11288.5138,17.1,2728.9255,31.9,2616.818,16.7,广东省
201509,19840.9505,17.0,13422.0367,16.8,3297.7524,28.7,3121.1614,15.3,广东省
201510,22619.3705,16.7,15252.3233,16.3,3853.6057,30.9,3513.4415,12.7,广东省
201511,25712.9019,16.7,17252.0481,15.9,4463.3908,29.4,3997.463,11.7,广东省
201512,29950.4834,15.9,19969.0492,14.8,5326.5249,25.1,4654.9093,10.9,广东省
201601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201602,2576.2572,13.0,1815.2339,8.0,309.9457,10.3,451.0776,42.5,广东省
201603,5039.6825,12.1,3431.1226,7.0,744.3069,21.1,864.253,27.8,广东省
201604,7214.8596,11.2,4905.1142,8.3,1098.0106,13.9,1211.7348,22.0,广东省
201605,9859.531,12.3,6620.3274,9.4,1550.3274,12.4,1688.8762,25.0,广东省
201606,13504.1751,13.5,8947.9935,10.5,2208.0695,14.0,2348.1121,25.9,广东省
201607,16029.5403,13.9,10523.4468,10.4,2705.4269,16.3,2800.6666,26.5,广东省
201608,18862.5596,13.4,12361.5086,9.5,3156.6107,15.7,3344.4403,27.8,广东省
201609,22284.6431999999,12.3,14617.4014,8.9,3779.9397,14.6,3887.3021,24.5,广东省
201610,25394.6529,12.3,16555.0037,8.5,4335.4673,12.5,4504.1819,28.2,广东省
201611,28694.4596,11.6,18651.8658,8.1,4970.263,11.4,5072.3308,26.9,广东省
201612,32947.3005,10.0,21396.8456,7.2,5806.1595,9.0,5744.2954,23.4,广东省
201701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201702,2883.3708,11.9,2029.5728,11.8,413.145,33.3,440.653,-2.3,广东省
201703,5669.306,12.5,3975.5739,15.9,888.3219,19.3,805.4102,-6.8,广东省
201704,8125.0297,12.6,5570.2151,13.6,1303.1947,18.7,1251.6199,3.3,广东省
201705,11080.1378,12.4,7426.4641,12.2,1796.022,15.8,1857.6517,10.0,广东省
201706,15471.1529,14.6,10282.8078,14.9,2505.6216,13.5,2682.7235,14.3,广东省
201707,18402.5582,14.8,12133.5194,15.3,3042.1418,12.4,3226.897,15.2,广东省
201708,21650.0083,14.8,14182.6827,14.7,3584.7004,13.6,3882.6252,16.1,广东省
201709,25548.9747,14.6,16604.9801,13.6,4266.4162,12.9,4677.5784,20.3,广东省
201710,29074.6418,14.5,18815.4718,13.7,4919.6496,13.5,5339.5204,18.5,广东省
201711,32908.7954,14.7,21164.4516,13.5,5600.3184,12.7,6144.0254,21.1,广东省
201712,37403.9119,13.5,23939.785,11.9,6425.0581,10.7,7039.0688,22.5,广东省
201801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广东省
201802,0.0,14.4,0.0,12.7,0.0,-4.5,0.0,38.6,广东省
201803,0.0,11.3,0.0,6.4,0.0,-6.3,0.0,52.1,广东省
201804,0.0,10.5,0.0,4.6,0.0,-4.5,0.0,49.5,广东省
201805,0.0,9.3,0.0,3.5,0.0,-3.6,0.0,42.9,广东省
201806,0.0,10.1,0.0,1.3,0.0,1.4,0.0,49.0,广东省
201807,0.0,10.1,0.0,2.0,0.0,-0.9,0.0,47.3,广东省
201808,0.0,10.2,0.0,1.9,0.0,-0.5,0.0,46.5,广东省
201809,0.0,10.2,0.0,1.8,0.0,-0.2,0.0,45.6,广东省
201810,0.0,10.2,0.0,2.0,0.0,-1.5,0.0,45.4,广东省
201811,0.0,10.4,0.0,2.4,0.0,0.0,0.0,43.2,广东省
201812,0.0,10.7,0.0,3.1,0.0,3.4,0.0,39.4,广东省
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,广西壮族自治区
200802,229.1464,26.4,148.5451,32.8,41.2983,21.0,39.303,11.3,广西壮族自治区
200803,492.4382,35.6,298.7916,37.2,91.0157,30.1,102.6309,35.9,广西壮族自治区
200804,703.022,36.3,427.9556,39.9,138.8338,32.6,136.2326,29.4,广西壮族自治区
200805,961.8069,35.2,587.0536,38.4,193.2285,36.1,181.5248,24.8,广西壮族自治区
200806,1423.5475,33.9,840.2093,34.8,298.4095,30.8,284.9287,34.8,广西壮族自治区
