月份,商品住宅施工面积_累计值,商品住宅施工面积_累计增长,商品住宅新开工施工面积_累计值,商品住宅新开工施工面积_累计增长,商品住宅竣工面积_累计值,商品住宅竣工面积_累计增长,地区
201709,8116.6498,1.9,1134.0104,-2.6,607.2899,2.0,吉林省
201710,8221.6955,1.3,1239.0002,-5.9,719.4651,12.0,吉林省
201711,8305.4662,1.0,1330.8453,-5.6,836.5024,5.9,吉林省
201712,8349.1926,0.5,1412.4698,-5.4,1030.4598,2.2,吉林省
201801,0.0,0.0,0.0,0.0,0.0,0.0,吉林省
201802,6746.3937,-2.7,12.3914,48.6,75.6526,-18.2,吉林省
201803,6750.1967,-4.4,47.7758,-45.6,112.6333,-35.0,吉林省
201804,6891.3884,-4.1,189.1243,-11.2,128.5223,-47.0,吉林省
201805,7056.2577,-5.5,353.9977,-26.5,212.4007,-29.4,吉林省
201806,7316.7528,-4.3,601.008,-9.8,274.0084,-30.7,吉林省
201807,7594.429,-2.4,878.6842,10.1,325.9261,-33.7,吉林省
201808,7839.1654,-1.2,1127.43,18.4,396.7557,-29.2,吉林省
201809,8124.194,0.1,1406.7933,24.1,497.5894,-18.1,吉林省
201810,8262.7457,0.5,1535.3237,23.9,549.7694,-23.6,吉林省
201811,8377.1689,0.9,1642.7456,23.4,930.3301,11.2,吉林省
201812,8398.113,0.6,1752.8371,24.1,1105.3665,7.3,吉林省
200801,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
200802,156.88,119.3,40.36,-3.7,6.03,0.0,黑龙江省
200803,312.63,36.3,73.51,-14.6,11.28,-71.0,黑龙江省
200804,834.04,23.0,292.27,4.4,14.51,-79.1,黑龙江省
200805,1399.07,21.4,552.77,6.1,49.42,-35.8,黑龙江省
200806,1778.21,7.0,873.66,6.0,54.44,-43.2,黑龙江省
200807,2018.12,0.5,1031.14,1.0,68.22,-33.1,黑龙江省
200808,2144.99,0.4,1133.37,1.9,92.67,-17.5,黑龙江省
200809,2338.18,5.4,1302.45,9.5,137.78,-12.2,黑龙江省
200810,2452.45,6.1,1414.34,12.6,206.48,-3.0,黑龙江省
200811,2542.43,7.2,1499.54,14.9,393.62,24.8,黑龙江省
200812,2927.94,11.1,1850.29,24.3,1107.66,-11.0,黑龙江省
200901,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
200902,107.59,-31.4,1.67,-95.9,0.0,-100.0,黑龙江省
200903,290.83,-7.0,72.69,-1.1,0.28,-97.5,黑龙江省
200904,1015.05,21.7,395.52,35.3,24.36,67.8,黑龙江省
200905,1512.61,8.1,658.3,19.1,28.68,-42.0,黑龙江省
200906,2091.59,17.6,1040.48,19.1,58.71,7.8,黑龙江省
200907,2466.36,22.2,1280.75,24.2,126.65,85.7,黑龙江省
200908,2672.12,24.6,1469.24,29.6,159.68,72.3,黑龙江省
200909,3014.82,28.9,1752.0,34.5,198.59,44.1,黑龙江省
200910,3214.36,31.1,1939.68,37.1,278.89,35.1,黑龙江省
200911,3538.66,39.2,2297.3,53.2,451.68,14.8,黑龙江省
200912,3692.19,27.0,2429.99,32.1,1563.99,34.8,黑龙江省
201001,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201002,2036.21,11.8,0.0,0.0,0.0,0.0,黑龙江省
201003,2077.65,0.0,44.67,-38.5,2.62,0.0,黑龙江省
201004,2416.58,138.1,376.44,-4.8,50.45,107.1,黑龙江省
201005,3021.03,99.7,953.64,44.9,77.72,171.0,黑龙江省
201006,3871.98,85.1,1782.13,71.3,100.38,71.0,黑龙江省
201007,4243.77,72.1,2162.91,68.9,141.18,11.5,黑龙江省
201008,4826.27,80.6,2726.64,85.6,199.43,24.9,黑龙江省
201009,5204.29,72.6,3098.24,76.8,253.62,27.7,黑龙江省
201010,5590.4821,73.9,3439.3807,77.3,360.2095,29.2,黑龙江省
201011,5877.1347,66.1,3713.9791,61.7,677.4252,50.0,黑龙江省
201012,6112.0167,65.5,4079.4007,67.3,1778.1616,12.9,黑龙江省
201101,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201102,2812.2745,38.1,15.1531,0.0,0.4724,0.0,黑龙江省
201103,3483.8386,67.7,185.2192,314.6,6.5926,152.0,黑龙江省
201104,3923.6031,62.4,508.2913,35.0,31.8801,-36.8,黑龙江省
201105,5060.6018,67.5,1359.502,42.6,98.1837,26.3,黑龙江省
201106,6331.8116,63.5,2567.7998,44.1,128.0498,27.6,黑龙江省
201107,6938.6922,63.5,3151.5314,45.7,195.2594,38.3,黑龙江省
201108,7902.3137,63.7,3979.8391,46.0,296.0878,48.5,黑龙江省
201109,8547.1653,64.2,4614.8929,49.0,487.4619,92.2,黑龙江省
201110,8948.1113,60.1,5020.38,46.0,662.4608,83.9,黑龙江省
201111,9306.9054,58.4,5435.4819,46.4,1260.8447,86.1,黑龙江省
201112,9593.7194,57.1,5734.9253,40.4,2396.0416,9.0,黑龙江省
201201,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201202,6935.5152,146.6,20.2178,33.4,65.3291,0.0,黑龙江省
201203,6591.9741,89.2,172.0249,-7.1,182.7037,0.0,黑龙江省
201204,6918.5739,76.3,417.095,-17.9,134.1891,320.9,黑龙江省
201205,7583.9522,49.9,955.9226,-29.7,389.5883,296.8,黑龙江省
201206,8296.0488,31.0,1695.5782,-34.0,464.0528,262.4,黑龙江省
201207,8751.5212,26.1,2011.6846,-36.2,607.8095,211.3,黑龙江省
201208,9424.153,19.3,2742.7017,-31.1,807.9963,172.9,黑龙江省
201209,9805.8563,14.7,3132.4264,-32.1,984.0236,101.9,黑龙江省
201210,9991.6942,11.7,3294.3069,-34.4,1245.7937,88.1,黑龙江省
201211,10322.2026,10.9,3604.8305,-33.7,1618.8928,28.4,黑龙江省
201212,10471.9594,8.4,3785.5484,-35.0,2646.2053,1.9,黑龙江省
201301,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201302,7169.0823,3.4,29.5778,46.3,80.5464,23.3,黑龙江省
201303,7278.2318,10.4,106.6167,-38.0,111.7501,-38.8,黑龙江省
201304,7555.1037,9.2,389.792,-6.5,169.2595,26.1,黑龙江省
201305,8005.0153,5.6,824.6486,-13.7,228.0297,-41.5,黑龙江省
201306,8345.8182,0.6,1157.3137,-31.7,379.8742,-18.1,黑龙江省
201307,8774.1105,0.3,1545.883,-23.2,474.7508,-21.9,黑龙江省
201308,9192.614,-2.5,1919.9422,-30.0,557.1749,-31.0,黑龙江省
201309,9447.8012,-3.7,2171.0662,-30.7,743.7189,-24.4,黑龙江省
201310,9746.5329,-2.5,2440.4609,-25.9,929.2733,-25.4,黑龙江省
201311,10102.2088,-2.1,2762.5009,-23.4,1231.6925,-23.9,黑龙江省
201312,10241.3971,-2.2,2920.4846,-22.9,2344.4092,-11.4,黑龙江省
201401,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201402,7615.1896,6.2,0.8608,-97.1,141.9532,76.2,黑龙江省
201403,7668.6823,5.4,45.3816,-57.4,205.76,84.1,黑龙江省
201404,7796.3657,3.2,147.4754,-62.2,279.2532,65.0,黑龙江省
201405,8207.8837,2.5,507.6189,-38.4,517.0913,126.8,黑龙江省
201406,8614.1216,3.2,805.3592,-30.4,661.2252,74.1,黑龙江省
201407,8973.3356,2.3,1121.1142,-27.5,695.8547,46.6,黑龙江省
201408,9253.2423,0.7,1352.9795,-29.5,745.4223,33.8,黑龙江省
201409,9629.067,1.9,1694.0508,-22.0,1056.2565,42.0,黑龙江省
201410,9979.1574,2.4,1961.9096,-19.6,1164.1893,25.3,黑龙江省
201411,10326.1539,2.2,2245.6296,-18.7,1480.1389,20.2,黑龙江省
201412,10424.1125,1.8,2327.2674,-20.3,2295.7015,-2.1,黑龙江省
201501,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201502,7153.4337,-6.1,1.1511,33.7,79.7219,-43.8,黑龙江省
201503,7209.6868,-6.0,46.4898,2.4,141.9915,-31.0,黑龙江省
201504,7288.6817,-6.5,113.6646,-22.9,181.9406,-34.8,黑龙江省
201505,7472.1861,-9.0,255.5972,-49.6,236.1826,-54.3,黑龙江省
201506,7704.142,-10.6,495.5226,-38.5,319.3854,-51.7,黑龙江省
201507,7877.7351,-12.2,659.682,-41.2,366.287,-47.4,黑龙江省
201508,8043.0963,-13.1,830.148,-38.6,461.9741,-38.0,黑龙江省
201509,8272.1191,-14.1,1030.1088,-39.2,541.1301,-48.8,黑龙江省
201510,8447.7927,-15.3,1184.1352,-39.6,976.6106,-16.1,黑龙江省
201511,8663.509,-16.1,1369.7355,-39.0,1332.7289,-10.0,黑龙江省
201512,8784.9756,-15.7,1475.9193,-36.6,2126.8196,-7.4,黑龙江省
201601,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201602,6220.2062,-13.0,0.3597,-68.8,68.6031,-13.9,黑龙江省
201603,6233.2706,-13.5,23.5307,-49.4,169.6971,19.5,黑龙江省
201604,6330.149,-13.2,111.1968,-2.2,211.1506,16.1,黑龙江省
201605,6526.9535,-12.7,318.7419,24.7,293.2093,24.1,黑龙江省
201606,6732.1657,-12.6,517.495,4.4,386.8121,21.1,黑龙江省
201607,6875.8691,-12.7,653.9103,-0.9,456.5516,24.6,黑龙江省
201608,7001.1264,-13.0,777.6624,-6.3,485.9101,5.2,黑龙江省
201609,7157.4068,-13.5,933.7018,-9.4,539.1251,-0.4,黑龙江省
201610,7428.3417,-12.1,1204.2764,1.7,778.3666,-20.3,黑龙江省
201611,7583.8708,-12.5,1350.792,-1.4,1069.5582,-19.7,黑龙江省
201612,7746.0456,-11.8,1541.9486,4.5,1757.0854,-17.4,黑龙江省
201701,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201702,5783.0909,-7.0,0.38,5.6,22.9591,-66.5,黑龙江省
201703,5851.8952,-6.1,52.309,122.3,38.3629,-77.4,黑龙江省
201704,5956.0535,-5.9,209.0666,88.0,96.0614,-54.5,黑龙江省
201705,6157.3962,-5.7,399.6225,25.4,198.7856,-32.2,黑龙江省
201706,6370.2591,-5.4,613.5953,18.6,216.4686,-44.0,黑龙江省
201707,6481.0129,-5.7,720.9409,10.3,259.1682,-43.2,黑龙江省
201708,6666.1896,-4.8,904.1767,16.3,323.9865,-33.3,黑龙江省
201709,6890.8957,-3.7,1128.9328,20.9,408.6022,-24.2,黑龙江省
201710,7084.9611,-4.6,1318.1779,9.5,574.4035,-26.2,黑龙江省
201711,7359.8242,-3.0,1592.801,17.9,816.1373,-23.7,黑龙江省
201712,7432.1067,-4.1,1677.7672,8.8,1205.9412,-31.4,黑龙江省
201801,0.0,0.0,0.0,0.0,0.0,0.0,黑龙江省
201802,5824.3554,0.7,0.594,56.3,3.5895,-84.4,黑龙江省
201803,5867.7785,0.3,55.7062,6.5,21.9891,-42.7,黑龙江省
201804,5937.8995,-0.3,118.1856,-43.5,86.1459,-10.3,黑龙江省
201805,6190.9926,0.5,355.3003,-11.1,136.9623,-31.1,黑龙江省
201806,6480.4654,1.7,634.6331,3.4,181.4326,-16.2,黑龙江省
201807,6686.3047,3.2,841.4458,16.7,253.9348,-2.0,黑龙江省
201808,6848.1951,2.7,997.2362,10.3,302.5016,-6.6,黑龙江省
201809,7103.6549,3.1,1252.7612,11.0,364.967,-10.7,黑龙江省
201810,7345.5868,3.7,1484.7495,12.6,517.5268,-9.9,黑龙江省
201811,7662.308,4.1,1802.4335,13.2,663.267,-18.7,黑龙江省
201812,7683.954,3.4,1857.0004,10.7,920.5271,-23.7,黑龙江省
200801,0.0,0.0,0.0,0.0,0.0,0.0,上海市
200802,4189.46,-10.3,176.02,-10.4,152.89,-7.5,上海市
200803,5138.48,-12.5,440.77,3.5,295.1,10.8,上海市
200804,5371.74,-12.1,651.06,0.4,424.43,-14.2,上海市
200805,5489.6,-13.0,730.26,3.9,497.11,-7.5,上海市
200806,5604.21,-14.1,823.12,1.7,620.47,-12.5,上海市
200807,5834.11,-13.1,972.04,10.0,766.44,-16.8,上海市
200808,6007.87,-13.3,1114.02,6.4,926.31,-14.4,上海市
200809,6080.38,-14.6,1187.03,-4.1,1083.89,-22.0,上海市
200810,6482.28,-11.2,1359.76,2.5,1242.78,-33.0,上海市
200811,6456.51,-13.2,1475.98,1.2,1357.39,-38.4,上海市
200812,6872.1,-10.1,1762.01,7.8,1763.33,-35.9,上海市
200901,0.0,0.0,0.0,0.0,0.0,0.0,上海市
200902,4324.03,3.2,189.79,7.8,132.86,-13.1,上海市
200903,4783.28,-6.9,341.94,-22.4,256.29,-13.2,上海市
200904,4963.24,-7.6,463.65,-28.8,336.94,-20.6,上海市
200905,5114.53,-6.8,544.71,-25.4,428.2,-13.9,上海市
200906,5350.2,-4.5,755.47,-8.2,555.62,-10.5,上海市
200907,5579.73,-4.4,890.54,-8.4,830.12,8.3,上海市
200908,5782.98,-3.7,1033.13,-7.3,908.46,-1.9,上海市
200909,5870.36,-3.5,1113.87,-6.2,961.96,-11.2,上海市
200910,5964.08,-8.0,1149.96,-15.4,1037.43,-16.5,上海市
200911,6176.14,-4.3,1364.65,-7.5,1166.61,-14.1,上海市
200912,6550.73,-7.6,1721.02,-8.5,1508.81,-16.2,上海市
201001,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201002,4794.18,10.9,234.53,23.6,139.59,5.1,上海市
201003,5261.56,10.0,510.0,49.1,255.15,-0.4,上海市
201004,5469.36,10.2,647.24,39.6,315.06,-6.5,上海市
201005,5719.91,11.8,779.95,43.2,402.15,-6.1,上海市
201006,5969.28,11.6,974.67,29.0,492.25,-11.4,上海市
201007,6158.97,10.4,1160.72,30.3,551.41,-33.6,上海市
201008,6366.44,10.1,1341.49,29.8,622.76,-31.4,上海市
201009,6534.18,11.3,1486.96,33.5,685.36,-28.8,上海市
201010,6756.9723,13.3,1678.278,45.9,790.1495,-23.8,上海市
201011,6943.7386,12.4,1836.1853,34.6,945.2411,-19.0,上海市
201012,7313.8469,11.6,2111.1142,22.7,1396.0521,-7.5,上海市
201101,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201102,5332.6377,11.2,286.1623,22.0,147.7209,5.8,上海市
201103,6220.7327,18.2,677.21,32.8,258.2344,1.2,上海市
201104,6473.5186,18.4,874.1156,35.1,366.1161,16.2,上海市
201105,6714.2476,17.4,1056.9174,35.5,489.1178,21.6,上海市
201106,6906.0222,15.7,1195.4136,22.6,577.3173,17.3,上海市
201107,7068.7381,14.8,1329.4736,14.5,687.4505,24.7,上海市
201108,7435.2073,16.8,1588.6905,18.4,817.5759,31.3,上海市
201109,7606.8731,16.4,1752.2967,17.8,934.0417,36.3,上海市
201110,7781.3656,15.2,1896.8466,13.0,996.3197,26.1,上海市
201111,8073.5607,16.3,2187.0161,19.1,1111.7047,17.6,上海市
201112,8386.2559,14.7,2473.5986,17.2,1549.6605,11.0,上海市
201201,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201202,6711.7333,25.9,323.2481,13.0,168.1455,13.8,上海市
201203,7097.7134,14.1,508.953,-24.8,300.6988,16.4,上海市
201204,7249.3147,12.0,577.7813,-33.9,421.3278,15.1,上海市
201205,7520.7853,12.0,775.5984,-26.6,550.5838,12.6,上海市
201206,7699.6151,11.5,905.9799,-24.2,709.8845,23.0,上海市
201207,7810.3218,10.5,999.9011,-24.8,803.9951,17.0,上海市
201208,7970.4601,7.2,1152.8318,-27.4,935.8447,14.5,上海市
201209,8053.2896,5.9,1241.9447,-29.1,1003.8521,7.5,上海市
201210,8188.0232,5.2,1354.259,-28.6,1099.9302,10.4,上海市
201211,8241.1242,2.1,1464.1886,-33.1,1161.0715,4.4,上海市
201212,8315.6827,-1.6,1563.3923,-37.8,1609.1305,-2.2,上海市
201301,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201302,6456.1205,-3.8,320.674,-0.8,389.3296,131.5,上海市
201303,6618.9644,-6.7,388.7545,-23.6,488.5475,62.5,上海市
201304,6909.0173,-4.7,466.6168,-19.2,547.3577,29.9,上海市
201305,7139.4914,-5.1,644.1625,-16.9,614.6767,11.6,上海市
201306,7301.0619,-5.2,786.2146,-13.2,668.4587,-5.8,上海市
201307,7410.6645,-5.1,886.4618,-11.3,799.5196,-0.6,上海市
201308,7630.9778,-4.3,1039.1906,-9.9,849.8468,-9.2,上海市
201309,7772.0725,-3.5,1198.7164,-3.5,902.8899,-10.1,上海市
201310,7866.7617,-3.9,1256.3378,-7.2,951.2205,-13.5,上海市
201311,8117.3659,-1.5,1473.9484,0.7,1053.6846,-9.2,上海市
201312,8125.7388,-2.3,1643.0929,5.1,1417.4113,-11.9,上海市
201401,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201402,6660.1966,3.2,155.4929,-51.5,217.0653,-44.2,上海市
201403,6976.3008,5.4,374.9727,-3.5,304.4986,-37.7,上海市
201404,7066.4873,2.3,470.4508,0.8,357.4302,-34.7,上海市
201405,7241.2792,1.4,540.0037,-16.2,488.3143,-20.6,上海市
201406,7368.191,0.9,629.1666,-20.0,587.1157,-12.2,上海市
201407,7496.9358,1.2,735.7889,-17.0,751.2031,-6.0,上海市
201408,7651.8986,0.3,787.834,-24.2,834.4844,-1.8,上海市
201409,7854.1581,1.1,974.8249,-18.7,933.4826,3.4,上海市
201410,8066.2339,2.5,1159.3591,-7.7,1022.845,7.5,上海市
201411,8351.5213,2.9,1408.2539,-4.5,1191.5999,13.1,上海市
201412,8525.852,4.9,1547.287,-5.8,1535.5468,8.3,上海市
201501,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201502,6506.793,-2.3,164.2144,5.6,308.9056,42.3,上海市
201503,6744.9877,-3.3,212.2013,-43.4,482.1007,58.3,上海市
201504,6991.0179,-1.1,382.903,-18.6,549.8441,53.8,上海市
201505,7050.6066,-2.6,453.2025,-16.1,593.4228,21.5,上海市
201506,7320.7276,-0.6,578.325,-8.1,691.9787,17.9,上海市
201507,7398.0944,-1.3,701.0695,-4.7,767.1924,2.1,上海市
201508,7582.3291,-0.9,874.4351,11.0,860.592,3.1,上海市
201509,7807.3843,-0.6,1048.5558,7.6,925.4958,-0.9,上海市
201510,7948.5086,-1.5,1175.7841,1.4,1131.7409,10.6,上海市
201511,8177.4859,-2.1,1369.6097,-2.7,1235.569,3.7,上海市
201512,8372.1237,-1.8,1560.2831,0.8,1588.9521,3.5,上海市
201601,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201602,6504.6721,0.0,135.8385,-17.3,361.7185,17.1,上海市
201603,6712.1518,-0.5,251.4004,18.5,479.6225,-0.5,上海市
201604,6819.0237,-2.5,285.5103,-25.4,563.3903,2.5,上海市
201605,7045.0888,-0.1,473.4169,4.5,607.0463,2.3,上海市
201606,7206.1946,-1.6,622.5678,7.7,668.9065,-3.3,上海市
201607,7353.3157,-0.6,764.1941,9.0,820.1427,6.9,上海市
201608,7494.9339,-1.2,899.3376,2.8,886.3471,3.0,上海市
201609,7700.7433,-1.4,1068.4826,1.9,980.5493,5.9,上海市
201610,7873.4213,-0.9,1237.0009,5.2,1062.5659,-6.1,上海市
201611,7972.2087,-2.5,1320.6323,-3.6,1145.1918,-7.3,上海市
201612,8073.9437,-3.6,1436.128,-8.0,1532.8809,-3.5,上海市
201701,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201702,6498.8762,-0.1,139.5976,2.8,562.3595,55.5,上海市
201703,6730.1509,0.3,290.9014,15.7,699.8369,45.9,上海市
201704,6930.1836,1.6,444.033,55.5,730.6086,29.7,上海市
201705,7033.978,-0.2,590.9876,24.8,790.6644,30.2,上海市
201706,7173.5276,-0.5,690.1499,10.9,928.4231,38.8,上海市
201707,7300.2893,-0.7,796.453,4.2,1062.4346,29.5,上海市
201708,7393.9553,-1.3,884.758,-1.6,1106.655,24.9,上海市
201709,7514.82,-2.4,972.8165,-9.0,1190.7363,21.4,上海市
201710,7678.3434,-2.5,1127.9087,-8.8,1275.8366,20.1,上海市
201711,7825.6735,-1.8,1266.8028,-4.1,1467.422,28.1,上海市
201712,8013.7991,-0.7,1402.9119,-2.3,1862.7361,21.5,上海市
201801,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201802,6035.6987,-7.1,68.1757,-51.2,486.6479,-13.5,上海市
201803,6103.0874,-9.3,130.4457,-55.2,583.762,-16.6,上海市
201804,6326.6496,-8.7,311.7649,-29.8,664.7256,-9.0,上海市
201805,6497.5285,-7.6,483.1891,-18.2,713.1409,-9.8,上海市
201806,6643.1833,-7.4,630.2495,-8.7,886.9001,-4.5,上海市
201807,6748.5392,-7.6,747.6123,-6.1,1071.0556,0.8,上海市
201808,6927.2895,-6.3,913.9287,3.3,1192.8514,7.8,上海市
201809,7134.3476,-5.1,1117.3055,14.9,1280.4721,7.5,上海市
201810,7298.9862,-4.9,1270.3061,12.6,1368.5775,7.3,上海市
201811,7464.3722,-4.6,1411.4832,11.4,1451.2085,-1.1,上海市
201812,7520.3856,-6.2,1473.167,5.0,1730.272,-7.1,上海市
200801,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200802,13529.03,40.1,1739.21,43.5,728.89,97.3,江苏省
200803,15443.28,37.3,2455.11,27.2,1101.62,73.7,江苏省
200804,16054.37,30.2,3190.81,22.5,1283.58,55.9,江苏省
200805,17019.96,30.2,3890.8,21.9,1656.79,57.7,江苏省
200806,18021.79,28.0,4711.51,23.0,2060.3,48.4,江苏省
200807,18623.82,26.3,5200.45,21.6,2331.0,45.1,江苏省
200808,19168.84,26.2,5668.07,19.6,2632.43,36.6,江苏省
200809,19677.95,24.6,6097.44,16.7,2873.52,28.9,江苏省
200810,20144.5,23.9,6459.03,14.4,3206.92,31.1,江苏省
200811,20722.75,23.1,6873.18,10.8,3488.77,28.5,江苏省
200812,21968.45,18.4,7908.37,3.3,5489.81,6.4,江苏省
200901,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200902,15460.37,14.3,1272.34,-26.8,802.1,10.0,江苏省
200903,16802.03,8.8,1735.75,-29.3,1250.41,13.5,江苏省
200904,17290.21,7.7,2051.67,-35.7,1521.32,18.5,江苏省
200905,17755.96,4.3,2454.26,-36.9,1799.87,8.6,江苏省
200906,18486.2,2.6,2894.94,-38.6,2199.52,6.8,江苏省
200907,18946.41,1.7,3264.2,-37.2,2757.75,18.3,江苏省
200908,19461.31,1.5,3723.5,-34.3,3186.6,21.1,江苏省
200909,20209.26,2.7,4392.28,-28.0,3497.5,21.7,江苏省
200910,20811.57,3.3,4969.83,-23.1,3899.0,21.6,江苏省
200911,21538.78,3.9,5908.79,-14.0,4385.63,25.7,江苏省
200912,22657.26,0.8,6978.45,-15.8,6226.75,-7.8,江苏省
201001,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201002,17034.17,10.2,1316.29,3.5,665.92,-17.0,江苏省
201003,18055.82,7.5,2296.49,32.3,1168.2,-6.6,江苏省
201004,18834.39,8.9,3091.6,50.7,1505.55,-1.0,江苏省
201005,19755.23,11.3,4095.43,66.9,1893.37,5.2,江苏省
201006,20780.95,12.4,5074.26,75.3,2445.0,11.2,江苏省
201007,21690.35,14.5,5879.18,80.1,2852.32,3.4,江苏省
201008,22478.83,15.5,6653.75,78.7,3181.27,-0.2,江苏省
201009,23176.76,14.7,7431.96,69.2,3533.79,1.0,江苏省
201010,24016.5397,15.4,8222.3281,65.4,3758.0592,-3.6,江苏省
201011,24893.4878,15.6,9091.7508,53.9,4117.5298,-6.1,江苏省
201012,26349.9096,15.6,10620.3213,49.6,6268.4405,-6.9,江苏省
201101,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201102,21194.4728,24.4,2127.1985,61.6,819.9161,23.1,江苏省
201103,22173.2289,22.8,3214.9771,40.0,1290.13,10.4,江苏省
201104,23476.528,24.6,4554.8762,47.3,1581.8007,5.1,江苏省
201105,24390.8826,23.5,5590.5137,36.5,1928.7296,1.9,江苏省
201106,25525.7793,22.8,6493.7009,28.0,2297.6736,-6.0,江苏省
201107,26534.109,22.3,7475.4923,27.2,2690.6205,-5.7,江苏省
201108,26975.1469,20.0,7856.927,18.1,3034.2898,-4.6,江苏省
201109,27896.334,20.4,8685.0206,16.9,3376.9021,-4.4,江苏省
201110,28496.004,18.7,9281.7956,12.9,3630.6799,-3.4,江苏省
201111,29212.3097,17.3,9982.1863,9.8,4117.7784,0.0,江苏省
201112,30469.0105,15.6,11158.1977,5.4,6147.7583,-6.2,江苏省
201201,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201202,24893.0383,17.5,1621.453,-23.8,1060.9307,29.4,江苏省
201203,25895.0961,16.8,3013.9607,-6.3,1611.0208,24.9,江苏省
201204,26260.7262,11.9,3209.4994,-29.5,1857.7793,17.4,江苏省
201205,27159.1225,11.3,4116.8001,-26.4,2205.8499,14.4,江苏省
201206,28323.2188,11.0,5028.5431,-22.6,2607.5345,13.5,江苏省
201207,28915.9936,9.0,5763.0351,-22.9,3207.5899,19.2,江苏省
201208,29941.5894,11.0,6770.7506,-13.8,3666.7897,20.8,江苏省
201209,30471.387,9.2,7324.3353,-15.7,3970.1064,17.6,江苏省
201210,31063.8002,9.0,7889.8145,-15.0,4312.0627,18.8,江苏省
201211,32129.0299,10.0,8932.0793,-10.5,5122.0418,24.4,江苏省
201212,33412.1657,10.4,10285.4909,-7.3,7687.1276,18.7,江苏省
201301,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201302,26712.9568,7.3,2154.4099,32.9,1399.4615,31.9,江苏省
201303,27903.8111,7.8,3070.1468,1.9,1881.8364,16.8,江苏省
201304,29184.7084,11.1,4107.938,28.0,2239.6616,20.6,江苏省
201305,30281.551,11.5,4983.0371,21.0,2685.606,21.7,江苏省
201306,31405.7154,10.9,5973.9953,18.8,3084.6561,18.3,江苏省
201307,32827.3362,13.5,7147.5407,24.0,3462.3664,7.9,江苏省
201308,33734.3126,12.7,7954.9197,17.5,3831.8525,4.5,江苏省
201309,35128.262,15.3,8807.1626,20.2,4255.8273,7.2,江苏省
201310,35662.5107,14.8,9315.0157,18.1,4617.8584,7.1,江苏省
201311,37323.7092,16.2,10787.5613,20.8,5304.9944,3.6,江苏省
201312,38756.7789,16.0,12211.8054,18.7,7584.1663,-1.3,江苏省
201401,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201402,31533.9434,18.0,1347.6961,-37.4,1178.3706,-15.8,江苏省
201403,32581.5206,16.8,2184.7111,-28.8,1640.223,-12.8,江苏省
201404,33792.8591,15.8,3086.0819,-24.9,2053.9811,-8.3,江苏省
201405,35135.487,16.0,4226.5232,-15.2,2598.5449,-3.2,江苏省
201406,36290.7154,15.6,5198.1715,-13.0,3096.4429,0.4,江苏省
201407,37352.8752,13.8,6072.0741,-15.0,3426.9174,-1.0,江苏省
201408,38423.3536,13.9,6957.5972,-12.5,3927.8873,2.5,江苏省
201409,39553.7302,12.6,7884.6587,-10.5,4327.1269,1.7,江苏省
201410,40524.163,13.6,8773.7569,-5.8,4760.3507,3.1,江苏省
201411,40995.1182,9.8,9596.0349,-11.0,5293.555,-0.2,江苏省
201412,41579.792,7.3,10377.9107,-15.0,7259.1105,-4.3,江苏省
201501,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201502,33513.4667,6.3,1320.5784,-2.0,1218.5225,3.4,江苏省
201503,34109.1841,4.7,1816.359,-16.9,1700.8487,3.7,江苏省
201504,35154.9024,4.0,2619.3212,-15.1,1936.4064,-5.7,江苏省
201505,36189.7592,3.0,3401.8875,-19.5,2440.6715,-6.1,江苏省
201506,37239.396,2.6,4124.4619,-20.7,2885.7337,-6.8,江苏省
201507,37983.563,1.7,4755.2546,-21.7,3343.1111,-2.4,江苏省
201508,38777.4966,0.9,5404.9518,-22.3,3553.1666,-9.5,江苏省
201509,40288.0492,1.9,6771.2959,-14.1,4045.9257,-6.5,江苏省
