月份,房地产施工面积_累计值,房地产施工面积_累计增长,房地产新开工施工面积_累计值,房地产新开工施工面积_累计增长,房地产竣工面积_累计值,房地产竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,5869.08,9.0,349.12,49.7,171.62,-18.5,北京市
200803,6847.13,2.8,583.16,53.3,265.99,-26.3,北京市
200804,7566.8,2.4,790.48,36.8,409.97,-20.2,北京市
200805,7969.47,-0.1,1058.39,47.3,553.46,-11.9,北京市
200806,8272.12,-1.4,1212.9,24.9,817.56,-14.7,北京市
200807,8452.64,-2.8,1332.41,14.5,1048.6,-3.1,北京市
200808,8659.7,-2.3,1440.87,12.2,1158.43,-1.7,北京市
200809,8807.17,-3.9,1507.18,-1.4,1252.81,-7.4,北京市
200810,9015.86,-5.7,1708.74,-8.0,1423.65,-8.3,北京市
200811,9432.38,-4.8,2053.49,-4.0,1572.8,-13.6,北京市
200812,10014.32,-4.1,2337.22,-8.6,2557.99,-11.5,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,5978.57,1.9,210.77,-39.6,200.28,16.7,北京市
200903,6898.37,0.7,311.88,-46.5,285.6,7.4,北京市
200904,7405.16,-2.1,463.95,-41.3,396.27,-3.3,北京市
200905,7630.49,-4.3,549.62,-48.1,514.42,-7.1,北京市
200906,8130.43,-1.7,830.98,-31.5,789.5,-3.4,北京市
200907,8337.79,-1.4,943.04,-29.2,923.59,-11.9,北京市
200908,8518.15,-1.6,1034.93,-28.2,1053.44,-9.1,北京市
200909,8751.96,-0.6,1169.1,-22.4,1178.05,-6.0,北京市
200910,8944.36,-0.8,1358.37,-20.5,1390.05,-2.4,北京市
200911,9081.37,-3.7,1678.46,-18.3,1630.09,3.6,北京市
200912,9719.08,-2.9,2246.6,-3.9,2678.55,4.7,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,6082.48,1.7,220.03,4.4,196.83,-1.7,北京市
201003,6858.67,-0.6,477.2,53.0,281.18,-1.5,北京市
201004,7224.75,-2.4,654.65,41.1,420.61,6.1,北京市
201005,7531.81,-1.3,876.19,59.4,558.14,8.5,北京市
201006,7807.33,-3.2,1112.64,33.9,782.38,2.2,北京市
201007,8048.89,-2.7,1314.76,39.4,868.63,-3.5,北京市
201008,8313.65,-1.7,1461.55,41.2,1000.12,-2.9,北京市
201009,8727.37,0.4,1760.79,50.6,1103.47,-4.4,北京市
201010,9185.0439,3.4,2049.4289,50.9,1465.6382,7.3,北京市
201011,9628.5089,6.0,2427.8116,44.6,1692.7123,3.8,北京市
201012,10300.8582,6.0,2974.2441,32.4,2386.7096,-10.9,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,6426.6725,5.7,273.4852,24.3,200.7529,2.0,北京市
201103,7608.2937,10.9,577.235,21.0,236.729,-15.8,北京市
201104,8297.6761,14.9,911.6948,39.3,297.4972,-29.3,北京市
201105,8926.1679,18.5,1309.9617,49.5,401.9825,-28.0,北京市
201106,9517.3676,21.9,1827.8158,64.3,543.665,-30.5,北京市
201107,9839.0577,22.2,2129.0946,61.9,630.1316,-27.5,北京市
201108,10499.4528,26.3,2788.6891,90.8,831.087,-16.9,北京市
201109,10906.4878,25.0,3145.0297,78.6,901.7314,-18.3,北京市
201110,11204.5394,22.0,3467.5935,69.2,1095.9422,-25.2,北京市
201111,11682.8492,21.3,3917.7065,61.4,1367.6067,-19.2,北京市
201112,12065.3755,17.1,4246.0522,42.8,2245.2369,-5.9,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,8174.6941,27.2,154.088,-43.7,90.3501,-55.0,北京市
201203,9247.1165,21.5,491.2149,-14.9,176.6662,-25.4,北京市
201204,9935.8421,19.7,699.3845,-23.3,280.2151,-5.8,北京市
201205,10485.4134,17.5,1048.3152,-20.0,437.8954,8.9,北京市
201206,11020.6693,15.8,1460.9968,-20.1,568.75,4.6,北京市
201207,11390.6698,15.8,1724.3806,-19.0,690.0845,9.5,北京市
201208,11742.6255,11.8,1963.9849,-29.6,797.5131,-4.0,北京市
201209,12044.1302,10.4,2210.1648,-29.7,971.617,7.8,北京市
201210,12364.7835,10.4,2516.4961,-27.4,1255.8736,14.6,北京市
201211,12786.0741,9.4,2897.2788,-26.0,1518.7544,11.1,北京市
201212,13122.4915,8.8,3224.2095,-24.1,2390.8593,6.5,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,8861.9466,8.4,286.0634,85.6,111.6028,23.5,北京市
201303,9838.3248,6.4,498.704,1.5,183.1679,3.7,北京市
201304,10468.3448,5.4,722.6756,3.3,297.495,6.2,北京市
201305,11041.5385,5.3,1058.891,1.0,378.9371,-13.5,北京市
201306,11368.2614,3.2,1390.2856,-4.8,553.6057,-2.7,北京市
201307,11798.3241,3.6,1708.8432,-0.9,680.0144,-1.5,北京市
201308,12141.8833,3.4,1969.4742,0.3,850.6561,6.7,北京市
201309,12454.7141,3.4,2265.9017,2.5,1148.0259,18.2,北京市
201310,12828.4831,3.8,2572.2609,2.2,1420.9886,13.1,北京市
201311,13406.3647,4.9,3076.3563,6.2,1691.3877,11.4,北京市
201312,13886.8667,5.8,3577.5238,11.0,2666.3519,11.5,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,10568.3675,19.3,182.4101,-36.2,264.1308,136.7,北京市
201403,11522.1434,17.1,525.4765,5.4,362.1264,97.7,北京市
201404,11685.7446,11.6,638.2624,-11.7,420.5657,41.4,北京市
201405,11970.4248,8.4,788.3932,-25.5,581.2835,53.4,北京市
201406,12264.7146,7.9,1053.9642,-24.2,670.8743,21.2,北京市
201407,12523.5922,6.1,1336.224,-21.8,783.501,15.2,北京市
201408,12618.1405,3.9,1442.4473,-26.8,872.3698,2.6,北京市
201409,12825.949,3.0,1627.4251,-28.2,1036.4817,-9.7,北京市
201410,13136.8002,2.4,1945.7659,-24.4,1251.7187,-11.9,北京市
201411,13232.911,-1.3,2065.4763,-32.9,1646.8719,-2.6,北京市
201412,13588.0771,-2.2,2449.3867,-31.5,3054.1222,14.5,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,10124.18,-4.2,194.2256,6.5,189.767,-28.2,北京市
201503,10646.6859,-7.6,478.2347,-9.0,404.9845,11.8,北京市
201504,10880.1848,-6.9,657.2348,3.0,462.5806,10.0,北京市
201505,11097.4815,-7.3,849.8057,7.8,630.3631,8.4,北京市
201506,11425.9869,-6.8,1105.7281,4.9,727.2145,8.4,北京市
201507,11754.9847,-6.1,1429.1969,7.0,771.8566,-1.5,北京市
201508,11818.12,-6.3,1499.0773,3.9,872.7961,0.0,北京市
201509,12037.7896,-6.1,1739.3171,6.9,1062.0389,2.5,北京市
201510,12214.1389,-7.0,1945.8173,0.0,1427.7692,14.1,北京市
201511,12589.8579,-4.9,2220.6807,7.5,1719.5931,4.4,北京市
201512,12993.0815,-4.4,2706.91,10.5,2631.4518,-13.8,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,10288.7721,1.6,278.4232,43.4,198.494,4.6,北京市
201603,10543.6492,-1.0,515.2383,7.7,421.4099,4.1,北京市
201604,11052.7936,1.6,824.5026,25.5,509.6571,10.2,北京市
201605,11324.9544,2.0,1115.0486,31.2,644.2203,2.2,北京市
201606,11486.2578,0.5,1306.4769,18.2,846.854,16.5,北京市
201607,11632.2542,-1.0,1436.6351,0.5,926.5408,20.0,北京市
201608,11859.0746,0.3,1676.5237,11.8,942.2464,8.0,北京市
201609,12224.9563,1.6,2025.6201,16.5,1150.6867,8.3,北京市
201610,12588.0089,3.1,2359.3767,21.3,1295.2793,-9.3,北京市
201611,12806.1102,1.7,2588.9049,16.6,1426.2946,-17.1,北京市
201612,12976.003,-0.1,2795.5673,3.3,2369.9489,-9.9,北京市
201701,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201702,10117.9705,-1.7,167.8962,-39.7,150.1797,-24.3,北京市
201703,10312.2436,-2.2,310.3793,-39.8,270.1902,-35.9,北京市
201704,10539.0502,-4.6,573.4673,-30.4,319.4613,-37.3,北京市
201705,10536.5153,-7.0,628.5733,-43.6,406.2901,-36.9,北京市
201706,10951.9836,-4.7,938.5867,-28.2,487.2555,-42.5,北京市
201707,11108.4048,-4.5,1086.7211,-24.4,568.2959,-38.7,北京市
201708,11233.0225,-5.3,1225.8817,-26.9,599.6681,-36.4,北京市
201709,11318.1346,-7.4,1336.3882,-34.0,626.7049,-45.5,北京市
201710,11533.2493,-8.4,1547.3537,-34.4,749.7875,-42.1,北京市
201711,12032.0418,-6.0,2035.0523,-21.4,829.2409,-41.9,北京市
201712,12412.7376,-4.3,2361.5082,-15.5,1466.6675,-38.1,北京市
201801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201802,10561.82,4.4,81.0231,-51.7,127.2598,-15.3,北京市
201803,10737.1313,4.1,154.7842,-50.1,186.2771,-31.1,北京市
201804,10914.3139,3.6,261.7642,-54.4,296.7331,-7.1,北京市
201805,11222.6442,6.5,587.1713,-6.6,320.8897,-21.0,北京市
201806,11496.9545,5.0,879.3985,-6.3,335.2676,-31.2,北京市
201807,11716.5441,5.5,1081.2151,-0.5,420.8437,-25.9,北京市
201808,11844.5432,5.4,1200.7756,-2.0,487.7784,-18.7,北京市
201809,12150.61,7.4,1508.024,12.8,591.0437,-5.7,北京市
201810,12426.7899,7.7,1740.303,12.5,663.871,-11.5,北京市
201811,12705.3118,5.6,2013.6476,-1.1,930.1366,12.2,北京市
201812,12962.6071,4.4,2321.106,-1.7,1557.8973,6.2,北京市
200801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200802,1781.42,23.3,218.5,-25.3,41.75,0.6,天津市
200803,2278.49,7.7,372.22,-20.7,116.57,-6.3,天津市
200804,2599.27,7.6,545.25,-6.5,167.5,-10.3,天津市
200805,2968.22,13.1,779.15,8.8,233.17,6.1,天津市
200806,3222.0,16.0,878.28,8.6,396.28,2.1,天津市
200807,3302.99,14.9,921.76,9.0,424.09,-7.3,天津市
200808,3465.12,19.1,965.59,12.3,458.56,-3.3,天津市
200809,3627.42,18.7,1118.61,19.4,556.66,0.6,天津市
200810,3773.93,6.9,1128.76,12.3,608.56,2.4,天津市
200811,3933.78,5.5,1317.32,8.4,740.33,1.2,天津市
200812,5704.27,17.9,2440.24,15.4,1769.23,3.8,天津市
200901,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200902,1847.62,3.7,218.57,0.0,43.07,3.1,天津市
200903,2387.24,4.8,372.25,0.0,119.43,2.5,天津市
200904,2778.57,6.9,551.5,1.1,168.58,0.6,天津市
200905,3163.83,6.6,781.45,0.3,233.17,0.0,天津市
200906,3399.22,5.5,879.49,0.1,396.38,0.0,天津市
200907,3564.83,7.9,942.51,2.3,411.43,-3.0,天津市
200908,3710.76,7.1,973.57,0.8,425.59,-7.2,天津市
200909,3941.14,8.6,1124.71,0.5,531.42,-4.5,天津市
200910,4034.76,6.9,1186.86,5.1,581.42,-4.5,天津市
200911,4120.29,4.7,1273.6,-3.3,710.54,-4.0,天津市
200912,6052.16,6.1,2555.5,4.7,1902.06,5.7,天津市
201001,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201002,4236.53,13.2,223.07,2.1,36.67,-14.8,天津市
201003,4444.54,86.2,390.43,4.9,124.92,4.6,天津市
201004,4569.46,64.5,558.89,1.3,153.05,-9.2,天津市
201005,4699.84,48.5,783.14,0.2,219.78,-5.7,天津市
201006,4874.77,43.4,908.74,3.3,396.86,0.1,天津市
201007,4961.81,39.2,961.63,2.0,431.15,4.8,天津市
201008,5100.62,37.5,1001.97,2.9,431.15,1.3,天津市
201009,5232.6,32.8,1130.46,0.5,537.5,1.1,天津市
201010,5340.4015,32.4,1191.8179,0.4,562.96,-3.2,天津市
201011,5547.3931,34.6,1314.8496,3.2,713.8209,0.5,天津市
201012,7160.7419,18.3,2911.6685,13.9,2098.5492,10.3,天津市
201101,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201102,5216.5329,23.1,222.3388,-0.3,36.4703,-0.6,天津市
201103,5942.9728,33.7,440.3538,12.8,128.931,3.2,天津市
201104,6222.6823,36.2,589.2872,5.4,175.9499,15.0,天津市
201105,6501.6463,38.3,794.0262,1.4,216.2905,-1.6,天津市
201106,6831.5751,40.1,944.6169,3.9,412.3489,3.9,天津市
201107,6917.6484,39.4,996.5997,3.6,431.2384,0.0,天津市
201108,6969.7545,36.6,1033.686,3.2,467.0073,8.3,天津市
201109,7120.5218,36.1,1136.3651,0.5,551.1068,2.5,天津市
201110,7269.7137,36.1,1210.9641,1.6,583.8563,3.7,天津市
201111,7454.7069,34.4,1337.1046,1.7,714.3909,0.1,天津市
201112,9075.3904,26.7,3484.2106,19.7,2105.3247,0.3,天津市
201201,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201202,6785.9083,30.1,217.6165,-2.1,42.2968,16.0,天津市
201203,6040.5708,1.6,447.1166,1.5,158.8271,23.2,天津市
201204,6273.2542,0.8,641.4297,8.8,257.438,46.3,天津市
201205,6701.9637,3.1,809.1788,1.9,296.781,37.2,天津市
201206,7279.0754,6.6,977.5209,3.5,463.3571,12.4,天津市
201207,7593.7736,9.8,1072.3359,7.6,505.206,17.2,天津市
201208,7644.6625,9.7,1117.6309,8.1,513.5701,10.0,天津市
201209,7855.2509,10.3,1153.9461,1.5,576.4938,4.6,天津市
201210,7971.0925,9.6,1222.0915,0.9,605.4489,3.7,天津市
201211,8160.9612,9.5,1372.6015,2.7,799.0671,11.9,天津市
201212,9864.2247,6.8,2565.1881,-22.2,2542.7456,20.9,天津市
201301,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201302,7155.8838,5.5,326.6247,50.1,67.5008,59.6,天津市
201303,8332.4075,37.9,561.0233,25.5,172.3337,8.5,天津市
201304,8914.9488,42.1,682.7713,6.4,292.0616,13.4,天津市
201305,9254.1216,38.1,827.1104,2.2,310.6319,4.7,天津市
201306,9498.9902,30.5,929.4494,-4.9,438.4032,-5.4,天津市
201307,9577.6798,26.1,1006.9572,-6.1,453.2514,-10.3,天津市
201308,9739.2543,27.4,1119.3077,0.2,491.5709,-4.3,天津市
201309,9999.3073,27.3,1223.8111,6.1,518.1312,-10.1,天津市
201310,10097.6682,26.7,1324.691,8.4,574.235,-5.2,天津市
201311,10383.7424,27.2,1375.1149,0.2,650.892,-18.5,天津市
201312,10892.1748,10.4,2672.9302,4.2,2805.3693,10.3,天津市
201401,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201402,8165.5647,14.1,168.7326,-48.3,222.1606,229.1,天津市
201403,8448.2563,1.4,281.229,-49.9,281.1262,63.1,天津市
201404,8799.1039,-1.3,410.8301,-39.8,357.5914,22.4,天津市
201405,9032.0668,-2.4,566.3746,-31.5,416.1418,34.0,天津市
201406,9336.2944,-1.7,731.8348,-21.3,530.2698,21.0,天津市
201407,9434.7843,-1.5,877.3942,-12.9,582.835,28.6,天津市
201408,9609.9021,-1.3,1099.41,-1.8,644.4476,31.1,天津市
201409,9808.8256,-1.9,1269.6782,3.7,678.4335,30.9,天津市
201410,10017.3249,-0.8,1502.9721,13.5,719.9444,25.4,天津市
201411,10290.3419,-0.9,1727.56,25.6,856.6385,31.6,天津市
201412,10652.3679,-2.2,2815.2697,5.3,2924.8176,4.3,天津市
201501,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201502,7978.9507,-2.3,162.2446,-3.8,143.1025,-35.6,天津市
201503,8224.7332,-2.6,304.7919,8.4,206.3153,-26.6,天津市
201504,8325.1395,-5.4,459.3294,11.8,289.0369,-19.2,天津市
201505,8580.3989,-5.0,621.7096,9.8,373.8636,-10.2,天津市
201506,8794.634,-5.8,803.3998,9.8,526.3837,-0.7,天津市
201507,8972.1081,-4.9,949.9572,8.3,602.0217,3.3,天津市
201508,9197.1129,-4.3,1177.9209,7.1,676.3389,4.9,天津市
201509,9397.6556,-4.2,1317.8047,3.8,722.4933,6.5,天津市
201510,9674.0839,-3.4,1541.5323,2.6,805.909,11.9,天津市
201511,9839.0208,-4.4,1679.2027,-2.8,890.8977,4.0,天津市
201512,10230.2165,-4.0,2817.1912,0.1,2903.5719,-0.7,天津市
201601,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201602,6527.9355,-18.2,215.7273,33.0,129.6132,-9.4,天津市
201603,7277.8184,-11.5,605.7588,98.7,153.7354,-25.5,天津市
201604,7491.4427,-10.0,807.4355,75.8,169.0096,-41.5,天津市
201605,7741.4006,-9.8,1057.4271,70.1,233.1898,-37.6,天津市
201606,7905.3866,-10.1,1290.5759,60.6,250.7924,-52.4,天津市
201607,8284.5418,-7.7,1609.6775,69.4,329.8926,-45.2,天津市
201608,8364.3444,-9.1,1685.8732,43.1,350.8792,-48.1,天津市
201609,8542.2734,-9.1,1867.7449,41.7,381.4812,-47.2,天津市
201610,8849.4958,-8.5,2076.2614,34.7,435.7202,-45.9,天津市
201611,9138.4141,-7.1,2324.9744,38.5,2026.2773,127.4,天津市
201612,9349.7556,-8.6,2511.4701,-10.9,2914.252,0.4,天津市
201701,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201702,6216.9856,-4.8,222.7106,3.2,65.7808,-49.2,天津市
201703,6709.1959,-7.8,607.9505,0.4,82.1465,-46.6,天津市
201704,6873.6557,-8.2,792.5546,-1.8,122.4782,-27.5,天津市
201705,7190.0145,-7.1,1076.8554,1.8,150.1627,-35.6,天津市
201706,7576.6711,-4.2,1452.5159,12.5,174.2139,-30.5,天津市
201707,7748.0575,-6.5,1618.8451,0.6,214.418,-35.0,天津市
201708,7892.6416,-5.6,1763.4292,4.6,256.8029,-26.8,天津市
201709,8119.0941,-5.0,1980.8425,6.1,304.4486,-20.2,天津市
201710,8237.648,-6.9,2098.7076,1.1,473.2511,8.6,天津市
201711,8400.1358,-8.1,2226.4779,-4.2,553.0302,-72.7,天津市
201712,8795.8217,-5.9,2334.6172,-7.0,2023.4119,-30.6,天津市
201801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201802,6832.4635,9.9,342.1155,53.6,29.1504,-55.7,天津市
201803,7216.3014,7.6,629.088,3.5,77.5846,-5.6,天津市
201804,7613.4976,10.8,992.3604,25.2,112.8646,-7.8,天津市
201805,8017.9453,11.5,1250.2634,16.1,162.3246,8.1,天津市
201806,8384.2727,10.7,1601.5119,10.3,232.0258,33.2,天津市
201807,8632.1084,11.4,1848.7875,14.2,242.4246,13.1,天津市
201808,8928.3612,13.1,2112.7083,19.8,285.7409,11.3,天津市
201809,9221.2427,13.6,2409.0796,21.6,331.7643,9.0,天津市
201810,9422.5225,14.4,2592.1598,23.5,416.6982,-11.9,天津市
201811,9528.0223,13.4,2815.3729,26.4,642.1272,16.1,天津市
201812,10324.3719,17.4,2479.3425,6.2,2092.2248,3.4,天津市
200801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200802,915.72,53.8,123.7,7.0,93.66,225.4,河北省
200803,3270.77,35.9,871.24,57.6,160.42,1.1,河北省
200804,4291.13,39.6,1222.2,50.6,210.21,-7.0,河北省
200805,5014.84,41.4,1569.8,37.6,254.81,-11.2,河北省
200806,5811.4,47.9,2039.42,48.3,361.27,8.0,河北省
200807,6162.01,41.2,2331.64,44.3,397.71,-2.5,河北省
200808,6449.77,40.7,2485.79,38.7,438.36,-5.5,河北省
200809,6865.62,38.9,2776.3,35.1,512.97,-0.1,河北省
200810,7101.53,37.9,2947.0,35.2,593.01,1.6,河北省
200811,7481.61,36.8,3138.59,26.9,684.58,4.7,河北省
200812,7879.7,35.3,3354.74,19.9,1103.18,-17.8,河北省
200901,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200902,1355.59,48.0,144.57,16.9,37.44,-60.0,河北省
200903,4977.38,52.2,1002.56,15.1,202.64,26.3,河北省
200904,6161.33,43.6,1399.68,14.5,278.54,32.5,河北省
200905,7157.51,42.7,1812.87,15.5,372.73,46.3,河北省
200906,8702.29,49.7,2672.8,31.1,505.75,40.0,河北省
200907,9107.43,47.8,2904.49,24.6,628.51,58.0,河北省
200908,9668.91,49.9,3215.4,29.4,723.63,65.1,河北省
200909,10811.83,57.5,3980.11,43.4,883.69,72.3,河北省
200910,11496.9,61.9,4461.67,51.4,1038.31,75.1,河北省
200911,12153.36,62.4,6239.39,98.8,1199.95,75.3,河北省
200912,12739.3,42.2,6804.13,80.5,1896.4,14.0,河北省
201001,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201002,9196.46,35.9,80.63,-44.2,31.54,-15.8,河北省
201003,10754.1,116.1,1537.32,53.3,213.37,5.3,河北省
201004,11979.51,94.4,2425.16,73.3,415.25,49.1,河北省
201005,13210.51,84.6,3545.19,95.6,610.28,63.7,河北省
201006,14896.06,71.2,4800.3,79.6,988.78,95.5,河北省
201007,15648.03,71.8,5435.27,87.1,1165.68,85.5,河北省
201008,16542.83,71.1,6278.18,95.3,1252.36,73.1,河北省
201009,17974.09,66.2,7570.27,90.2,1540.92,74.4,河北省
201010,19383.9016,68.6,8492.1931,90.3,1787.8448,72.2,河北省
201011,20100.0176,65.4,9097.8186,45.8,2005.9828,67.2,河北省
201012,20790.2832,63.0,9636.2767,42.0,3028.5837,36.9,河北省
201101,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201102,12984.5962,41.2,470.1098,483.0,108.7506,244.9,河北省
201103,16043.8364,49.2,2018.1963,31.3,525.9341,146.5,河北省
201104,17299.2479,44.4,3094.9855,27.6,878.4133,111.5,河北省
201105,19049.8005,44.2,4225.3114,19.2,1121.4012,83.8,河北省
201106,21127.7058,41.8,6095.252,27.0,1587.6957,60.6,河北省
201107,22269.9237,42.3,7023.5307,29.2,1821.1052,56.2,河北省
201108,23161.5086,40.0,7849.3567,25.0,2054.6822,64.1,河北省
201109,24130.4845,34.3,8752.3304,15.6,2415.1049,56.7,河北省
201110,24835.6119,28.1,9518.9652,12.1,2854.0923,59.6,河北省
201111,26172.3918,30.2,10650.1551,17.1,3539.0395,76.4,河北省
201112,26835.3699,29.6,11298.6993,17.3,5145.3154,42.3,河北省
201201,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201202,19956.2838,53.7,326.0307,-30.6,173.9249,59.9,河北省
201203,19402.1429,20.9,1797.1056,-11.0,666.4829,26.7,河北省
201204,21293.1834,23.1,2542.8856,-17.8,887.6489,1.1,河北省
201205,22299.1236,17.1,3241.9744,-23.3,1077.5621,-3.9,河北省
201206,23462.3037,11.0,4234.6147,-30.5,1396.0406,-12.1,河北省
201207,23912.8494,7.4,4640.4994,-33.9,1673.9976,-8.1,河北省
201208,24933.5356,7.7,5509.6607,-29.8,2096.9499,2.1,河北省
201209,25802.9957,6.9,6203.2655,-29.1,2527.1401,4.6,河北省
201210,26390.5795,6.3,6578.3728,-30.9,3009.9258,5.5,河北省
201211,27071.319,3.4,7202.7096,-32.4,3592.0936,1.5,河北省
201212,27577.8302,3.4,7641.802,-31.7,4894.5621,-5.5,河北省
201301,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201302,22289.7795,11.7,394.9112,21.1,383.1926,120.3,河北省
201303,22990.129,18.5,1138.4262,-36.7,671.4135,0.7,河北省
201304,23854.2554,12.0,1709.5785,-32.8,1020.2697,14.9,河北省
201305,24759.9253,11.0,2463.2758,-24.0,1291.4815,19.9,河北省
201306,25672.1243,9.4,3188.5926,-24.7,1547.8311,10.9,河北省
201307,26336.1068,10.1,3805.6395,-18.0,1846.7075,10.3,河北省
201308,26985.6073,8.2,4318.8689,-21.6,2072.8337,-1.2,河北省
201309,27839.4644,7.9,5089.6536,-18.0,2337.9201,-7.5,河北省
201310,28582.9237,8.3,5693.739,-13.4,2676.3138,-11.1,河北省
201311,29413.4539,8.7,6385.5384,-11.3,2988.313,-16.8,河北省
201312,29949.1173,8.6,6932.6456,-9.3,4437.0153,-9.3,河北省
201401,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201402,20891.2443,-6.3,492.0553,24.6,226.8699,-40.8,河北省
201403,21898.6931,-4.7,952.1567,-16.4,477.7702,-28.8,河北省
201404,22604.1132,-5.2,1519.688,-11.1,601.6098,-41.0,河北省
201405,24163.3155,-2.4,2271.8728,-7.8,804.7253,-37.7,河北省
201406,25448.0762,-0.9,3251.3815,2.0,1037.7953,-33.0,河北省
201407,26956.6599,2.4,4412.6477,16.0,1262.5087,-31.6,河北省
201408,27947.072,3.6,5036.7407,16.6,1554.4152,-25.0,河北省
201409,29133.6556,4.6,6004.6014,18.0,1945.015,-16.8,河北省
201410,30129.3726,5.4,6741.2235,18.4,2209.5462,-17.4,河北省
201411,31004.9386,5.4,7599.6874,19.0,2777.7168,-7.0,河北省
201412,31628.3855,5.6,8239.0309,18.8,4037.5633,-9.0,河北省
201501,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201502,21909.6046,4.9,278.5577,-43.4,388.9244,71.4,河北省
201503,22884.4869,4.5,983.4257,3.3,638.9373,33.7,河北省
201504,23503.8438,4.0,1581.216,4.0,718.0262,19.4,河北省
201505,24152.3779,0.0,2215.4273,-2.5,842.8175,4.7,河北省
201506,24945.1602,-2.0,3012.2116,-7.4,1073.6282,3.5,河北省
201507,25671.4197,-4.8,3589.5717,-18.7,1337.2668,5.9,河北省
201508,26449.267,-5.4,4337.8074,-13.9,1522.1602,-2.1,河北省
201509,28135.1127,-3.4,5488.3653,-8.6,1757.1207,-9.7,河北省
201510,28919.3443,-4.0,6047.606,-10.3,2084.3267,-5.7,河北省
201511,29800.8637,-3.9,6732.9963,-11.4,2822.4883,1.6,河北省
201512,30434.756,-3.8,7219.8078,-12.4,4039.3067,0.0,河北省
201601,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201602,23240.0951,6.1,710.127,154.9,237.2092,-39.0,河北省
201603,23678.3054,3.5,1164.9534,18.5,508.5231,-20.4,河北省
201604,24441.3823,4.0,2112.7002,33.6,672.5062,-6.3,河北省
201605,25306.7157,4.8,2850.0149,28.6,797.4304,-5.4,河北省
201606,26526.3823,6.3,4069.6815,35.1,1193.0429,11.1,河北省
201607,27260.3337,6.2,4787.8444,33.4,1393.2959,4.2,河北省
201608,28234.9091,6.8,5653.0699,30.3,1560.2754,2.5,河北省
201609,29039.9861,3.2,6555.7882,19.4,1868.8029,6.4,河北省
201610,29633.8283,2.5,7149.6304,18.2,2391.3963,14.7,河北省
201611,30234.4463,1.5,7750.2484,15.1,2989.2342,5.9,河北省
201612,30476.7767,0.1,8161.2975,13.0,4287.7829,6.2,河北省
201701,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201702,22484.4369,-3.3,393.7461,-44.6,384.8882,62.3,河北省
201703,23126.992,-2.3,1118.7444,-4.0,575.9111,13.3,河北省
201704,24163.2475,-1.1,2154.9999,2.0,798.9332,18.8,河北省
201705,25210.7819,-0.4,3202.5343,12.4,906.292,13.7,河北省
201706,26365.7758,-0.6,4345.1771,6.8,1162.6419,-2.5,河北省
201707,27224.9699,-0.1,5194.4814,8.5,1296.2994,-7.0,河北省
201708,27974.3034,-0.9,5943.8149,5.1,1373.6119,-12.0,河北省
201709,28761.1685,-1.0,6730.68,2.7,1668.3527,-10.7,河北省
201710,29425.7857,-0.7,7395.2972,3.4,1925.5002,-19.5,河北省
201711,29883.8732,-1.2,7868.4386,1.5,2423.2905,-18.9,河北省
201712,30318.3178,-0.5,8417.2068,3.1,3416.0033,-20.3,河北省
201801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201802,20290.7093,-9.8,295.2078,-25.0,177.8864,-53.8,河北省
201803,20730.5391,-10.4,812.6857,-27.4,435.5273,-24.4,河北省
201804,21528.548,-10.9,1610.6946,-25.3,608.6849,-23.8,河北省
201805,22307.0622,-11.5,2483.1088,-22.5,752.1018,-17.0,河北省
