月份,商业营业用房施工面积_累计值,商业营业用房施工面积_累计增长,商业营业用房新开工施工面积_累计值,商业营业用房新开工施工面积_累计增长,商业营业用房竣工面积_累计值,商业营业用房竣工面积_累计增长,地区
201008,1187.03,12.9,213.36,62.7,113.09,2.2,上海市
201009,1206.94,11.0,230.73,40.4,118.71,2.7,上海市
201010,1230.0642,11.7,252.9888,42.5,129.5656,-1.4,上海市
201011,1256.3766,14.9,267.6906,54.3,140.1632,-0.6,上海市
201012,1292.9623,16.8,298.0971,47.8,176.4144,-12.3,上海市
201101,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201102,1012.7531,24.8,36.1177,60.4,16.933,-46.3,上海市
201103,1079.0459,12.8,62.056,-23.9,31.9113,-50.4,上海市
201104,1106.8664,8.7,80.5923,-15.2,49.9053,-37.4,上海市
201105,1139.3397,9.3,94.5719,-16.2,57.7303,-28.5,上海市
201106,1174.0984,8.9,115.5876,-16.3,74.6362,-23.4,上海市
201107,1195.4855,6.3,131.41,-19.9,116.0716,13.3,上海市
201108,1268.9228,6.9,175.6193,-17.7,157.3047,39.1,上海市
201109,1290.5485,6.9,186.4077,-19.2,169.8064,43.0,上海市
201110,1314.2023,6.8,212.4922,-16.0,181.8884,40.4,上海市
201111,1341.3744,6.8,229.9668,-14.1,190.9513,36.2,上海市
201112,1365.893,5.6,239.9994,-19.5,231.7983,31.4,上海市
201201,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201202,1060.5861,4.7,84.6281,134.3,23.6879,39.9,上海市
201203,1136.8939,5.4,104.1389,67.8,33.1025,3.7,上海市
201204,1172.8817,6.0,129.1899,60.3,56.9245,14.1,上海市
201205,1236.976,8.6,171.5428,81.4,68.2475,18.2,上海市
201206,1257.3226,7.1,187.6948,62.4,81.2911,8.9,上海市
201207,1266.2088,5.9,196.2153,49.3,84.2061,-27.5,上海市
201208,1340.7679,5.7,268.3573,52.8,93.1803,-40.8,上海市
201209,1364.7878,5.8,279.7525,50.1,99.2671,-41.5,上海市
201210,1431.6063,8.9,310.4124,46.1,111.3295,-38.8,上海市
201211,1469.4276,9.5,343.4558,49.4,116.9662,-38.7,上海市
201212,1449.9055,5.6,365.1658,43.9,177.6514,-31.1,上海市
201301,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201302,1226.1683,15.6,54.1926,-36.0,58.7086,147.8,上海市
201303,1254.3912,10.3,59.5089,-42.9,67.3677,103.5,上海市
201304,1334.8109,13.8,97.6245,-24.4,83.4652,46.6,上海市
201305,1346.4858,8.9,119.6458,-30.3,89.6462,31.4,上海市
201306,1387.246,10.3,143.3292,-23.6,93.7847,15.4,上海市
201307,1405.3366,11.0,161.5932,-17.6,111.1847,32.0,上海市
201308,1436.244,7.1,183.883,-31.5,130.2256,39.8,上海市
201309,1463.2415,7.2,227.1177,-18.8,135.4478,36.4,上海市
201310,1499.0169,4.7,250.4519,-19.3,168.8097,51.6,上海市
201311,1509.7071,2.7,258.1302,-24.8,188.2687,61.0,上海市
201312,1500.7172,3.5,274.9628,-24.7,253.4452,42.7,上海市
201401,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201402,1231.5827,0.4,35.2453,-35.0,61.4215,4.6,上海市
201403,1291.3365,2.9,65.064,9.3,64.0339,-4.9,上海市
201404,1314.2996,-1.5,80.5054,-17.5,76.7384,-8.1,上海市
201405,1405.9278,4.4,113.7828,-4.9,94.4956,5.4,上海市
201406,1451.652,4.6,162.0746,13.1,97.977,4.5,上海市
201407,1491.1406,6.1,198.0147,22.5,102.8953,-7.5,上海市
201408,1559.181,8.6,257.4835,40.0,117.3093,-9.9,上海市
201409,1613.2476,10.3,294.5759,29.7,126.4029,-6.7,上海市
201410,1676.2245,11.8,340.7367,36.0,143.1645,-15.2,上海市
201411,1749.804,15.9,392.2879,52.0,167.9741,-10.8,上海市
201412,1751.9929,16.7,388.0318,41.1,208.355,-17.8,上海市
201501,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201502,1527.0336,24.0,38.8224,10.1,89.1684,45.2,上海市
201503,1622.0277,25.6,63.9649,-1.7,99.8615,56.0,上海市
201504,1651.0811,25.6,86.9086,8.0,106.2249,38.4,上海市
201505,1718.2635,22.2,128.9512,13.3,138.2619,46.3,上海市
201506,1769.6249,21.9,158.2324,-2.4,143.8562,46.8,上海市
201507,1760.7048,18.1,172.6159,-12.8,152.5432,48.3,上海市
201508,1803.9158,15.7,202.4166,-21.4,165.7416,41.3,上海市
201509,1817.1301,12.6,217.6562,-26.1,170.0637,34.5,上海市
201510,1825.0271,8.9,232.1947,-31.9,205.587,43.6,上海市
201511,1888.6722,7.9,272.5613,-30.5,225.2997,34.1,上海市
201512,1944.015,11.0,307.5727,-20.7,306.4459,47.1,上海市
201601,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201602,1543.9145,1.1,37.5583,-3.3,44.8696,-49.7,上海市
201603,1599.1288,-1.4,53.0099,-17.1,61.5483,-38.4,上海市
201604,1647.1319,-0.2,62.7805,-27.8,74.9678,-29.4,上海市
201605,1677.391,-2.4,89.2553,-30.8,92.382,-33.2,上海市
201606,1698.6215,-4.0,112.2321,-29.1,95.2308,-33.8,上海市
201607,1747.1134,-0.8,163.6022,-5.2,122.4764,-19.7,上海市
201608,1770.6475,-1.8,180.6564,-10.8,138.2524,-16.6,上海市
201609,1836.8825,1.1,245.434,12.8,151.9108,-10.7,上海市
201610,1864.0479,2.1,273.6446,17.9,157.6652,-23.3,上海市
201611,1915.6137,1.4,323.5372,18.7,177.4796,-21.2,上海市
201612,1990.8106,2.4,401.7812,30.6,266.0604,-13.2,上海市
201701,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201702,1758.2719,13.9,54.2869,44.5,65.3464,45.6,上海市
201703,1850.6721,15.7,63.0439,18.9,81.2477,32.0,上海市
201704,1852.0216,12.4,80.7847,28.7,87.8779,17.2,上海市
201705,1850.8685,10.3,91.97,3.0,94.4856,2.3,上海市
201706,1829.9613,7.7,112.469,0.2,127.6723,34.1,上海市
201707,1857.9036,6.3,126.1211,-22.9,178.0708,45.4,上海市
201708,1890.4537,6.8,158.3784,-12.3,194.1799,40.5,上海市
201709,1910.9682,4.0,176.3674,-28.1,198.1761,30.5,上海市
201710,1956.1048,4.9,220.4925,-19.4,239.3609,51.8,上海市
201711,1976.2716,3.2,259.67,-19.7,249.8595,40.8,上海市
201712,2016.1554,1.3,297.6812,-25.9,387.7286,45.7,上海市
201801,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201802,1659.5738,-5.6,13.7736,-74.6,121.2783,85.6,上海市
201803,1664.9322,-10.0,16.0922,-74.5,139.0632,71.2,上海市
201804,1676.4002,-9.5,31.4562,-61.1,146.9911,67.3,上海市
201805,1704.6985,-7.9,58.6317,-36.2,163.9002,73.5,上海市
201806,1720.2324,-6.0,74.097,-34.1,167.4879,31.2,上海市
201807,1741.8658,-6.2,82.8892,-34.3,193.2847,8.5,上海市
201808,1763.8102,-6.7,104.2726,-34.2,196.7293,1.3,上海市
201809,1792.8864,-6.2,135.4098,-23.2,207.4605,4.7,上海市
201810,1805.7696,-7.7,151.4959,-31.3,225.6273,-5.7,上海市
201811,1846.146,-6.6,195.4965,-24.7,243.6984,-2.5,上海市
201812,1876.2374,-6.9,206.9289,-30.5,341.0471,-12.0,上海市
200801,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200802,1988.57,29.1,187.81,24.6,69.59,-28.0,江苏省
200803,2275.32,23.8,309.06,26.2,98.86,-16.3,江苏省
200804,2448.71,24.3,394.9,23.7,131.83,-13.8,江苏省
200805,2586.66,23.8,479.77,30.9,192.7,-3.4,江苏省
200806,2713.91,22.5,592.89,33.7,238.9,-4.9,江苏省
200807,2816.14,22.4,669.71,30.5,276.88,-1.0,江苏省
200808,2933.06,27.3,759.89,27.9,312.18,-3.2,江苏省
200809,3052.9,28.2,862.07,36.7,351.05,-1.1,江苏省
200810,3130.88,27.4,921.16,32.4,394.08,3.7,江苏省
200811,3270.6,28.7,1026.88,32.1,442.48,6.4,江苏省
200812,3630.44,30.1,1281.54,29.2,701.49,-2.7,江苏省
200901,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200902,2712.83,36.4,234.35,24.8,116.69,67.7,江苏省
200903,3026.6,33.0,338.9,9.7,188.28,90.4,江苏省
200904,3113.65,27.2,399.88,1.3,230.22,74.6,江苏省
200905,3215.51,24.3,465.12,-3.1,266.18,38.1,江苏省
200906,3326.98,22.6,531.42,-10.4,311.56,30.4,江苏省
200907,3396.8,20.6,620.54,-7.3,396.3,43.1,江苏省
200908,3499.38,19.3,719.23,-5.4,440.22,41.0,江苏省
200909,3574.14,17.1,798.23,-7.4,491.92,40.1,江苏省
200910,3654.9,16.7,850.01,-7.7,548.29,39.1,江苏省
200911,3777.94,15.5,1019.02,-0.8,617.74,39.6,江苏省
200912,4069.09,5.2,1232.25,-19.6,882.26,-6.6,江苏省
201001,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201002,3227.95,19.0,230.18,-1.8,168.45,44.4,江苏省
201003,3486.83,15.2,415.09,22.5,222.03,17.9,江苏省
201004,3591.3,15.3,526.79,31.7,279.12,21.2,江苏省
201005,3828.91,19.1,673.89,44.9,357.58,34.3,江苏省
201006,4040.26,21.4,860.67,62.0,439.56,41.1,江苏省
201007,4169.97,22.8,990.72,59.7,507.52,28.1,江苏省
201008,4268.51,22.0,1086.74,51.1,542.75,23.3,江苏省
201009,4355.57,21.9,1188.16,48.8,596.26,21.2,江苏省
201010,4477.9314,22.5,1333.033,56.8,662.7088,20.9,江苏省
201011,4597.1065,21.7,1448.4681,42.1,702.2263,13.7,江苏省
201012,4824.874,18.3,1680.2625,35.3,1127.0995,9.0,江苏省
201101,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201102,3766.3292,16.7,298.3486,29.6,183.072,8.7,江苏省
201103,3990.3492,14.4,479.6219,15.5,240.2842,8.2,江苏省
201104,4226.8236,17.7,727.4719,38.1,325.1792,16.5,江苏省
201105,4383.5573,14.5,895.4774,32.9,384.9743,7.7,江苏省
201106,4627.8562,14.5,1029.7848,19.6,432.3382,-1.6,江苏省
201107,4802.9863,15.2,1205.8715,21.7,493.5211,-2.8,江苏省
201108,4917.2635,15.2,1310.6318,20.6,562.2435,3.6,江苏省
201109,5012.1049,15.1,1381.5111,16.3,640.9034,7.5,江苏省
201110,5103.235,14.0,1474.5805,10.6,694.8973,4.9,江苏省
201111,5233.6473,13.8,1595.0943,10.1,753.6534,7.3,江苏省
201112,5503.9212,13.1,1836.8119,5.4,1063.3428,-12.7,江苏省
201201,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201202,4570.6098,21.4,353.6405,18.5,292.4237,59.7,江苏省
201203,4831.0995,21.1,683.6646,42.5,415.9437,73.1,江苏省
201204,4914.7329,16.3,713.1246,-2.0,434.2385,33.5,江苏省
201205,5106.5981,16.5,915.2714,2.2,484.0067,25.7,江苏省
201206,5264.4266,13.8,1068.0245,3.7,540.6205,25.0,江苏省
201207,5284.5889,10.0,1192.9584,-1.1,625.5761,26.8,江苏省
201208,5479.0246,11.4,1348.008,2.9,692.9839,23.3,江苏省
201209,5534.8586,10.4,1403.535,1.6,745.966,16.4,江苏省
201210,5634.0297,10.4,1487.014,0.8,795.4104,14.5,江苏省
201211,5830.8592,11.4,1664.5556,4.4,884.6727,17.4,江苏省
201212,6071.0684,10.9,1928.2741,2.4,1168.7357,5.6,江苏省
201301,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201302,4900.666,7.2,367.5708,3.9,217.7456,-25.5,江苏省
201303,5087.7781,5.3,516.1456,-24.5,263.4992,-36.7,江苏省
201304,5373.4313,9.3,738.3325,3.5,330.452,-23.9,江苏省
201305,5580.5736,9.3,869.554,-5.0,369.3493,-23.7,江苏省
201306,5870.7225,11.5,1104.0601,3.4,427.4862,-20.9,江苏省
201307,6056.0205,14.6,1275.7296,6.9,484.8874,-22.5,江苏省
201308,6185.3211,12.9,1420.7296,5.4,535.1026,-22.8,江苏省
201309,6377.0302,15.2,1574.9253,12.2,598.58,-19.8,江苏省
201310,6427.2169,14.1,1623.7436,9.2,644.3872,-19.0,江苏省
201311,6750.016,15.8,1868.7803,12.3,696.9676,-21.2,江苏省
201312,6904.7112,13.7,2047.9044,6.2,995.5904,-14.8,江苏省
201401,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201402,6161.4724,25.7,354.3885,-3.6,268.6084,23.4,江苏省
201403,6294.8617,23.7,428.8243,-16.9,371.2308,40.9,江苏省
201404,6522.0529,21.4,602.1923,-18.4,437.3338,32.3,江苏省
201405,6742.2652,20.8,735.178,-15.5,526.1853,42.5,江苏省
201406,7005.4836,19.3,967.9663,-12.3,592.3325,38.6,江苏省
201407,7159.1148,18.2,1085.4568,-14.9,648.3025,33.7,江苏省
201408,7399.1174,19.6,1257.693,-11.5,724.1651,35.3,江苏省
201409,7591.9149,19.1,1464.0264,-7.0,750.9608,25.5,江苏省
201410,7764.835,20.8,1627.535,0.2,846.5659,31.4,江苏省
201411,7898.3874,17.0,1751.7737,-6.3,912.8504,31.0,江苏省
201412,7929.0235,14.8,1873.318,-8.5,1213.0958,21.8,江苏省
201501,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201502,6336.9356,2.8,172.4487,-51.3,212.2262,-21.0,江苏省
201503,6377.3086,1.3,216.3693,-49.5,299.6713,-19.3,江苏省
201504,6569.9598,0.7,358.7895,-40.4,351.1942,-19.7,江苏省
201505,6738.0615,-0.1,515.1123,-29.9,409.1084,-22.3,江苏省
201506,6852.8272,-2.2,604.2676,-37.6,489.1943,-17.4,江苏省
201507,6943.4361,-3.0,680.0629,-37.3,536.658,-17.2,江苏省
201508,7056.3842,-4.6,775.4847,-38.3,568.0952,-21.6,江苏省
201509,7293.1114,-3.9,966.2954,-34.0,662.9277,-11.7,江苏省
201510,7397.6492,-4.7,1070.9216,-34.2,792.5242,-6.4,江苏省
201511,7519.8053,-4.8,1166.6832,-33.4,876.8419,-3.9,江苏省
201512,7569.3851,-4.5,1278.8026,-31.7,1141.3939,-5.9,江苏省
201601,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201602,6135.8962,-3.2,293.6326,70.3,211.5392,-0.3,江苏省
201603,6382.9948,0.1,383.9698,77.5,329.5899,10.0,江苏省
201604,6579.2094,0.1,519.6036,44.8,412.5072,17.5,江苏省
201605,6769.7299,0.5,715.1268,38.8,481.3522,17.7,江苏省
201606,6841.615,-0.2,795.5904,31.7,584.4131,19.5,江苏省
201607,6915.4543,-0.4,867.6532,27.6,630.0107,17.4,江苏省
201608,7005.4394,-0.7,959.1565,23.7,718.3048,26.4,江苏省
201609,7138.5339,-2.1,1084.8709,12.3,772.6791,16.6,江苏省
201610,7251.2578,-2.0,1216.6387,13.6,879.2301,10.9,江苏省
201611,7345.811,-2.3,1310.7624,12.3,945.4246,7.8,江苏省
201612,7392.7502,-2.3,1422.4664,11.2,1172.0325,2.7,江苏省
201701,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201702,6026.4883,-1.8,149.2459,-49.2,248.7557,17.6,江苏省
201703,6119.3134,-4.1,258.9118,-32.6,336.4975,2.1,江苏省
201704,6257.3488,-4.9,397.2774,-23.5,411.9833,-0.1,江苏省
201705,6390.2051,-5.6,533.4131,-25.4,479.3974,-0.4,江苏省
201706,6497.8247,-5.0,642.6699,-19.2,541.7495,-7.3,江苏省
201707,6657.235,-3.7,790.6616,-8.9,615.1009,-2.4,江苏省
201708,6723.4512,-4.0,855.6155,-10.8,651.1118,-9.4,江苏省
201709,6821.112,-4.4,953.9151,-12.1,706.1863,-8.6,江苏省
201710,6942.824,-4.3,1067.4929,-12.3,812.859,-7.5,江苏省
201711,7033.3957,-4.3,1164.0415,-11.2,912.901,-3.4,江苏省
201712,7067.9184,-4.4,1283.0399,-9.8,1085.871,-7.4,江苏省
201801,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201802,5627.4699,-6.6,199.1161,33.4,181.3644,-27.1,江苏省
201803,5771.3162,-5.7,342.5823,32.3,280.035,-16.8,江苏省
201804,5912.2722,-5.5,472.4234,18.9,389.7523,-5.4,江苏省
201805,6036.3089,-5.5,607.1332,13.8,457.5833,-4.6,江苏省
201806,6154.1215,-5.3,729.6978,13.5,500.9205,-7.5,江苏省
201807,6311.5751,-5.2,851.4348,7.7,568.7094,-7.5,江苏省
201808,6400.5479,-4.8,940.965,10.0,622.5118,-4.4,江苏省
201809,6478.3774,-5.0,1017.3637,6.7,658.1899,-6.8,江苏省
201810,6557.4062,-5.6,1105.2399,3.5,710.9322,-12.5,江苏省
201811,6729.6161,-4.3,1279.1592,9.9,796.265,-12.8,江苏省
201812,6847.0698,-3.1,1418.7167,10.6,989.8469,-8.8,江苏省
200801,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
200802,1332.07,8.7,80.45,47.0,60.96,48.5,浙江省
200803,1451.91,6.5,138.02,20.0,109.78,88.8,浙江省
200804,1526.54,8.2,198.14,38.6,130.37,18.4,浙江省
200805,1593.33,9.0,251.0,37.1,142.05,9.3,浙江省
200806,1638.52,8.8,282.96,35.6,156.35,2.8,浙江省
200807,1703.87,10.2,322.69,25.5,167.86,-3.9,浙江省
200808,1730.15,7.4,344.93,8.4,176.48,-10.9,浙江省
200809,1774.3,8.3,387.78,11.9,198.61,-13.7,浙江省
200810,1813.34,7.1,410.31,3.7,222.67,-11.5,浙江省
200811,1847.04,4.1,440.54,-3.4,244.72,-15.5,浙江省
200812,1950.97,4.8,546.53,0.1,367.18,-24.3,浙江省
200901,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
200902,1371.17,2.9,85.75,6.6,52.6,-13.7,浙江省
200903,1596.23,9.9,122.67,-11.1,61.38,-44.1,浙江省
200904,1643.5,7.7,152.28,-23.1,73.0,-44.0,浙江省
200905,1674.75,5.1,167.11,-33.4,91.5,-35.6,浙江省
200906,1734.01,5.8,216.77,-23.4,106.78,-31.7,浙江省
200907,1808.3,6.1,289.27,-10.4,140.15,-16.5,浙江省
200908,1863.17,7.7,324.93,-5.8,152.24,-13.7,浙江省
200909,1896.38,6.9,352.66,-9.1,170.73,-14.0,浙江省
200910,1935.35,6.7,386.68,-5.8,188.23,-15.5,浙江省
200911,1986.35,7.5,486.8,10.5,223.97,-8.5,浙江省
200912,2109.24,5.7,598.01,5.8,364.7,-11.3,浙江省
201001,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201002,1807.83,31.8,166.4,94.1,66.61,26.7,浙江省
201003,1912.06,19.8,227.25,85.3,81.71,33.1,浙江省
201004,2034.72,23.8,308.65,102.7,155.17,112.6,浙江省
201005,2099.52,25.4,373.73,123.6,197.35,115.7,浙江省
201006,2164.25,24.8,440.34,103.1,214.73,101.1,浙江省
201007,2218.12,22.7,489.45,69.2,230.83,64.7,浙江省
201008,2253.33,20.9,519.86,60.0,244.45,60.6,浙江省
201009,2360.24,24.5,642.12,82.1,303.35,77.7,浙江省
201010,2433.5235,25.7,697.3034,80.3,339.3096,80.3,浙江省
201011,2530.5744,27.4,790.1042,62.3,395.9573,76.8,浙江省
201012,2620.3963,24.0,868.8483,47.4,546.246,41.9,浙江省
201101,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201102,2165.4505,19.8,179.8028,8.1,70.0303,5.1,浙江省
201103,2360.9629,23.5,301.8577,32.8,99.4558,21.7,浙江省
201104,2432.3201,19.5,370.988,20.2,137.8849,-11.1,浙江省
201105,2513.2665,19.7,443.6959,18.7,174.2393,-11.7,浙江省
201106,2645.561,22.2,547.1506,24.3,196.3499,-8.6,浙江省
201107,2738.329,23.5,622.3093,27.1,224.7267,-2.6,浙江省
201108,2814.2882,24.9,704.4452,35.5,239.3877,-2.1,浙江省
201109,2908.9148,23.2,769.103,19.8,258.7893,-14.7,浙江省
201110,2949.23,21.2,809.8724,16.1,278.5226,-17.9,浙江省
201111,3111.5413,23.0,966.3519,22.3,323.7055,-18.2,浙江省
201112,3197.3757,22.1,1041.9219,21.6,466.8224,-17.4,浙江省
201201,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201202,2733.7529,26.2,174.4943,-3.0,82.0675,17.2,浙江省
201203,2845.5197,20.5,249.8676,-17.2,117.8315,18.5,浙江省
201204,2916.6399,19.9,309.5293,-16.6,134.7109,-2.3,浙江省
201205,3039.594,20.9,402.1071,-9.4,161.2124,-7.5,浙江省
201206,3135.6631,18.5,488.7148,-10.7,176.1543,-10.3,浙江省
201207,3218.8386,17.5,528.1296,-15.1,197.1903,-12.3,浙江省
201208,3335.5667,18.5,631.0947,-10.4,216.8581,-9.4,浙江省
201209,3396.7695,16.8,690.2877,-10.2,227.0571,-12.3,浙江省
201210,3491.4698,18.4,779.8838,-3.7,254.7745,-8.5,浙江省
201211,3593.4392,15.5,878.5214,-9.1,290.3989,-10.3,浙江省
201212,3642.2768,14.3,911.7577,-13.0,453.1061,-6.9,浙江省
201301,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201302,3098.6248,13.3,118.9068,-31.9,90.2815,10.0,浙江省
201303,3189.997,12.1,216.6654,-13.3,137.6718,16.8,浙江省
201304,3354.7101,15.0,332.3383,7.4,153.5206,14.0,浙江省
201305,3436.7871,13.1,407.4033,1.3,164.1997,1.9,浙江省
201306,3556.3974,13.4,511.3972,4.6,190.2479,8.0,浙江省
201307,3647.2922,13.3,596.5392,13.0,227.5249,15.4,浙江省
201308,3725.3162,11.7,675.5724,7.0,271.2854,25.1,浙江省
201309,3831.2115,12.8,792.0414,14.7,289.5841,27.5,浙江省
201310,3871.4898,10.9,831.4174,6.6,315.6758,23.9,浙江省
201311,3988.0516,11.0,937.5734,6.7,345.1471,18.9,浙江省
201312,4226.9885,16.1,1123.9713,23.3,471.992,4.2,浙江省
201401,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201402,3636.0113,17.3,59.083,-50.3,98.7354,9.4,浙江省
201403,3768.0482,18.1,151.2661,-30.2,123.1421,-10.6,浙江省
201404,3877.6126,15.6,261.1252,-21.4,148.1581,-3.5,浙江省
201405,4070.4879,18.4,451.3969,10.8,192.6367,17.3,浙江省
201406,4217.215,18.6,581.5608,13.7,220.9432,16.1,浙江省
201407,4395.3242,20.5,715.8021,20.0,286.6886,26.0,浙江省
201408,4502.644,20.9,844.1434,25.0,373.9073,37.8,浙江省
201409,4689.6147,22.4,997.7449,26.0,400.7838,38.4,浙江省
201410,4785.7365,23.6,1082.2991,30.2,421.345,33.5,浙江省
201411,4931.8734,23.7,1215.4013,29.6,460.4067,33.4,浙江省
201412,5073.4337,20.0,1359.2612,20.9,708.4447,50.1,浙江省
201501,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201502,4278.1247,17.7,112.1362,89.8,123.9021,25.5,浙江省
201503,4324.1318,14.8,145.6925,-3.7,160.2899,30.2,浙江省
201504,4404.3388,13.6,240.6274,-7.8,180.2154,21.6,浙江省
201505,4562.5866,12.1,395.9584,-12.3,199.5553,3.6,浙江省
201506,4636.9863,10.0,476.0546,-18.1,223.2916,1.1,浙江省
201507,4744.1817,7.9,583.6031,-18.5,244.2852,-14.8,浙江省
201508,4803.1812,6.7,647.8781,-23.3,254.5953,-31.9,浙江省
201509,4978.0646,6.2,782.6761,-21.6,285.4129,-28.8,浙江省
201510,5102.2094,6.6,890.3668,-17.7,345.7357,-17.9,浙江省
201511,5208.1199,5.6,944.2264,-22.3,405.7857,-11.9,浙江省
201512,5198.9282,2.5,1004.4582,-26.1,566.2719,-20.1,浙江省
201601,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201602,4504.994,5.3,85.5225,-23.7,122.4534,-1.2,浙江省
201603,4592.8283,6.2,164.3363,12.8,161.7928,0.9,浙江省
201604,4693.7001,6.6,253.8412,5.5,183.4426,1.8,浙江省
201605,4774.517,4.6,336.1186,-15.1,216.2232,8.4,浙江省
201606,4854.1676,4.7,416.269,-12.6,301.0884,34.8,浙江省
201607,4917.4675,3.7,474.2814,-18.7,354.3658,45.1,浙江省
201608,4954.3568,3.1,533.2501,-17.7,394.7152,55.0,浙江省
201609,5002.7658,0.5,577.9643,-26.2,454.2565,59.2,浙江省
201610,5056.9816,-0.9,631.3365,-29.1,504.5997,45.9,浙江省
201611,5146.8182,-1.2,715.8454,-24.2,578.8763,42.7,浙江省
201612,5264.1619,1.3,838.026,-16.6,780.4493,37.8,浙江省
201701,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201702,4318.7528,-4.1,84.5156,-1.2,123.1954,0.6,浙江省
201703,4376.1629,-4.7,150.3972,-8.5,157.0434,-2.9,浙江省
201704,4475.568,-4.6,256.3076,1.0,196.7093,7.2,浙江省
201705,4612.5312,-3.4,368.7311,9.7,255.8462,18.3,浙江省
201706,4729.3074,-2.6,481.0262,15.6,310.0443,3.0,浙江省
201707,4796.8819,-2.5,536.4316,13.1,342.4373,-3.4,浙江省
201708,4863.0133,-1.8,599.4066,12.4,357.8953,-9.3,浙江省
201709,4941.0317,-1.2,673.1777,16.5,418.7358,-7.8,浙江省
201710,4995.9099,-1.2,728.1198,15.3,476.1006,-5.6,浙江省
201711,5071.5149,-1.5,808.3293,12.9,535.7207,-7.5,浙江省
201712,5014.8389,-4.7,893.5261,6.6,739.715,-5.2,浙江省
201801,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201802,4031.5011,-6.7,58.6708,-30.6,118.6624,-3.7,浙江省
201803,4053.5954,-7.4,109.0964,-27.5,191.7553,22.1,浙江省
201804,4111.3618,-8.1,173.7888,-32.2,235.9701,20.0,浙江省
201805,4184.1786,-9.3,249.9863,-32.2,261.5873,2.2,浙江省
201806,4245.9129,-10.2,328.4744,-31.7,292.4894,-5.7,浙江省
201807,4320.8949,-9.9,366.2371,-31.7,324.6043,-5.2,浙江省
201808,4403.3083,-9.5,444.7116,-25.8,354.0972,-1.1,浙江省
201809,4490.8357,-9.1,560.0512,-16.8,372.8043,-11.0,浙江省
201810,4616.031,-7.6,657.9398,-9.6,414.7951,-12.9,浙江省
201811,4742.2307,-6.5,750.7196,-7.1,455.4119,-15.0,浙江省
201812,4819.3549,-3.9,856.2723,-4.2,629.837,-14.9,浙江省
200801,0.0,0.0,0.0,0.0,0.0,0.0,安徽省
200802,606.95,33.1,72.13,24.6,27.53,62.3,安徽省
200803,811.6,46.5,131.07,48.8,42.35,70.2,安徽省
200804,863.9,37.5,157.48,46.2,50.91,71.6,安徽省
200805,968.66,46.2,214.57,72.0,61.45,72.0,安徽省
200806,1085.8,53.4,268.13,76.7,66.74,30.7,安徽省
200807,1115.78,47.6,294.66,37.7,72.63,12.8,安徽省
200808,1176.3,47.5,351.69,39.0,78.1,-2.5,安徽省
200809,1215.03,47.6,387.63,45.8,88.45,-4.4,安徽省
200810,1250.34,41.7,412.09,41.3,120.47,21.2,安徽省
200811,1292.95,38.6,438.31,30.5,135.08,12.5,安徽省
200812,1420.8,43.1,564.75,35.1,254.03,19.6,安徽省
200901,0.0,0.0,0.0,0.0,0.0,0.0,安徽省
200902,739.29,21.8,107.29,48.7,33.47,21.6,安徽省
200903,1058.9,30.5,185.6,41.6,60.57,43.0,安徽省
200904,1156.87,33.9,229.2,45.5,67.04,31.7,安徽省
200905,1226.4,26.6,260.88,21.6,76.96,25.2,安徽省
200906,1310.05,20.7,300.41,12.0,97.77,46.5,安徽省
200907,1353.26,21.3,325.13,10.3,118.19,62.7,安徽省
200908,1441.53,22.5,374.13,6.4,151.09,93.5,安徽省
200909,1524.01,25.4,450.1,16.1,160.33,81.3,安徽省
200910,1597.9,27.8,509.13,23.5,196.46,63.1,安徽省
200911,1664.99,28.8,555.72,26.8,208.67,54.5,安徽省
