月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
201309,19438,2282,12555,2120,福建省
201310,20898,2629,13981,2439,福建省
201311,22300,2816,15357,2627,福建省
201312,22987,2770,16007,2569,福建省
201401,0,0,0,0,福建省
201402,8290,1579,2305,909,福建省
201403,11079,1529,4373,900,福建省
201404,13067,1569,6075,908,福建省
201405,15037,1571,7824,903,福建省
201406,17377,1872,9948,1158,福建省
201407,18440,1957,10981,1254,福建省
201408,19372,1653,11832,928,福建省
201409,21038,1600,13421,866,福建省
201410,22752,1854,15088,1107,福建省
201411,24362,2062,16648,1291,福建省
201412,0,0,0,0,福建省
201501,0,0,0,0,福建省
201502,7847,-443,2367,62,福建省
201503,10607,-472,4609,236,福建省
201504,12725,-342,6477,402,福建省
201505,14660,-377,8273,449,福建省
201506,17416,39,10883,935,福建省
201507,18860,420,12272,1291,福建省
201508,20397,1025,13763,1931,福建省
201509,22444,1406,15738,2317,福建省
201510,24256,1504,17523,2435,福建省
201511,26084,1722,19303,2655,福建省
201512,27218,1822,20378,2837,福建省
201601,0,0,0,0,福建省
201602,7098,-749,2508,141,福建省
201603,12339,1732,6991,2382,福建省
201604,14976,2251,9286,2809,福建省
201605,17140,2480,11548,3275,福建省
201606,20389,2973,14604,3721,福建省
201607,21939,3079,16112,3840,福建省
201608,24252,3855,18347,4584,福建省
201609,27063,4619,21077,5339,福建省
201610,29260,5004,23225,5702,福建省
201611,31524,5440,25463,6160,福建省
201612,32878,5660,26796,6418,福建省
201701,0,0,0,0,福建省
201702,11393,4295,2166,-342,福建省
201703,17089,4750,7124,133,福建省
201704,21365,6389,11018,1732,福建省
201705,25433,8293,14922,3374,福建省
201706,29996,9607,19310,4706,福建省
201707,32893,10954,22127,6015,福建省
201708,35672,11420,24840,6493,福建省
201709,38225,11162,27362,6285,福建省
201710,40196,10936,29312,6087,福建省
201711,43253,11729,32323,6860,福建省
201712,45435,12557,34494,7698,福建省
201801,0,0,0,0,福建省
201802,0,0,0,0,福建省
201803,0,0,0,0,福建省
201804,0,0,0,0,福建省
201805,0,0,0,0,福建省
201806,0,0,0,0,福建省
201807,0,0,0,0,福建省
201808,0,0,0,0,福建省
201809,0,0,0,0,福建省
201810,0,0,0,0,福建省
201811,0,0,0,0,福建省
201812,0,0,0,0,福建省
200801,0,0,0,0,江西省
200802,2737,548,296,-42,江西省
200803,3463,558,701,-132,江西省
200804,4136,644,1185,-118,江西省
200805,4790,811,1715,19,江西省
200806,5756,930,2519,102,江西省
200807,6455,1201,3138,333,江西省
200808,6779,1174,3450,329,江西省
200809,7356,1251,3976,380,江西省
200810,8035,1482,4597,587,江西省
200811,9063,1945,5510,959,江西省
200812,10308,1867,6703,871,江西省
200901,0,0,0,0,江西省
200902,3175,438,570,274,江西省
200903,4250,787,1312,611,江西省
200904,5269,1133,2166,981,江西省
200905,6308,1518,3078,1363,江西省
200906,7657,1901,4321,1802,江西省
200907,8570,2115,5126,1988,江西省
200908,9370,2591,5877,2427,江西省
200909,10574,3218,7003,3027,江西省
200910,11641,3606,8016,3419,江西省
200911,12816,3753,9120,3610,江西省
200912,14341,4006,10516,3795,江西省
201001,0,0,0,0,江西省
201002,3577,402,540,-30,江西省
201003,5274,1024,1615,303,江西省
201004,6445,1176,2467,301,江西省
201005,7659,1351,3487,409,江西省
201006,9204,1547,4922,601,江西省
201007,10342,1772,5950,824,江西省
201008,10981,1611,6553,676,江西省
201009,12081,1507,7527,524,江西省
201010,13155,1514,8530,514,江西省
201011,14617,1801,9923,803,江西省
201012,16559,2248,11695,1162,江西省
201101,0,0,0,0,江西省
201102,3840,-136,431,-230,江西省
201103,5358,-545,1212,-570,江西省
201104,6696,-545,2169,-586,江西省
201105,7732,-1042,2954,-1119,江西省
201106,9055,-1018,4159,-1137,江西省
201107,10084,-1270,5060,-1384,江西省
201108,11144,-1178,6061,-1281,江西省
201109,12485,-1153,7317,-1185,江西省
201110,14051,-683,8837,-708,江西省
201111,14585,-1219,9365,-1182,江西省
201112,15283,-1830,10052,-1745,江西省
201201,0,0,0,0,江西省
201202,3455,-385,352,-79,江西省
201203,5117,-241,1509,297,江西省
201204,6786,90,2963,794,江西省
201205,8381,649,4401,1447,江西省
201206,10473,1418,6326,2167,江西省
201207,11852,1768,7575,2515,江西省
201208,13074,1930,8767,2706,江西省
201209,14825,2340,10268,2951,江西省
201210,16502,2451,11815,2978,江西省
201211,17743,3158,13050,3685,江西省
201212,18608,3349,13855,3784,江西省
201301,0,0,0,0,江西省
201302,3987,532,581,229,江西省
201303,6014,897,1952,443,江西省
201304,8014,1228,3675,712,江西省
201305,9885,1504,5294,893,江西省
201306,11853,1380,7143,817,江西省
201307,13542,1690,8744,1169,江西省
201308,14741,1667,9862,1095,江西省
201309,16191,1366,11276,1008,江西省
201310,17461,959,12518,703,江西省
201311,18528,785,13568,518,江西省
201312,19370,1608,14377,1253,江西省
201401,0,0,0,0,江西省
201402,4561,574,503,-78,江西省
201403,6217,203,1389,-563,江西省
201404,7795,-219,2540,-1135,江西省
201405,9303,-582,3793,-1501,江西省
201406,11388,-465,5630,-1513,江西省
201407,12799,-743,6968,-1776,江西省
201408,14134,-607,8227,-1635,江西省
201409,15554,-637,9590,-1686,江西省
201410,16836,-625,10865,-1653,江西省
201411,18134,-394,12130,-1438,江西省
201412,0,0,0,0,江西省
201501,0,0,0,0,江西省
201502,3972,-589,415,-88,江西省
201503,6012,-205,1498,109,江西省
201504,8043,248,3011,471,江西省
201505,10037,734,4717,924,江西省
201506,12221,833,6657,1027,江西省
201507,13743,944,8083,1115,江西省
201508,15214,1080,9505,1278,江西省
201509,16958,1404,11203,1613,江西省
201510,18730,1894,12934,2069,江西省
201511,20036,1902,14164,2034,江西省
201512,20789,1918,14886,1969,江西省
201601,0,0,0,0,江西省
201602,4635,663,912,497,江西省
201603,6862,850,2410,912,江西省
201604,8637,594,3805,794,江西省
201605,10161,124,4940,223,江西省
201606,12443,222,6949,292,江西省
201607,14431,688,8488,405,江西省
201608,16136,922,10043,538,江西省
201609,17769,811,11542,339,江西省
201610,19502,772,13113,179,江西省
201611,20743,707,14354,190,江西省
201612,21587,798,15198,312,江西省
201701,0,0,0,0,江西省
201702,6109,1474,410,-502,江西省
201703,8400,1538,1611,-799,江西省
201704,11195,2558,3792,-13,江西省
201705,13271,3110,5556,616,江西省
201706,16192,3749,8163,1214,江西省
201707,17793,3362,9581,1093,江西省
201708,19486,3350,11173,1130,江西省
201709,21075,3306,12633,1091,江西省
201710,22741,3239,14215,1102,江西省
201711,23817,3074,15147,793,江西省
201712,24842,3255,16027,829,江西省
201801,0,0,0,0,江西省
201802,0,0,0,0,江西省
201803,0,0,0,0,江西省
201804,0,0,0,0,江西省
201805,0,0,0,0,江西省
201806,0,0,0,0,江西省
201807,0,0,0,0,江西省
201808,0,0,0,0,江西省
201809,0,0,0,0,江西省
201810,0,0,0,0,江西省
201811,0,0,0,0,江西省
201812,0,0,0,0,江西省
200801,0,0,0,0,山东省
200802,5745,1077,1643,173,山东省
200803,9448,207,4130,52,山东省
200804,11528,768,5714,514,山东省
200805,13510,996,7014,335,山东省
200806,18159,295,10504,-383,山东省
200807,20762,-138,12634,-772,山东省
200808,22848,2,14560,-576,山东省
200809,24255,1357,15860,674,山东省
200810,24755,420,16340,-273,山东省
200811,25067,-44,16648,-637,山东省
200812,27614,1071,18719,-62,山东省
200901,0,0,0,0,山东省
200902,5825,80,1974,331,山东省
200903,9806,358,4213,83,山东省
200904,13157,1629,6873,1159,山东省
200905,15903,2393,9059,2045,山东省
200906,20897,2738,13231,2727,山东省
200907,24065,3303,15741,3107,山东省
200908,27792,4944,19454,4894,山东省
200909,27894,3639,19543,3683,山东省
200910,28002,3247,19586,3246,山东省
200911,30112,5045,19892,3244,山东省
200912,31859,3496,21585,2023,山东省
201001,0,0,0,0,山东省
201002,6735,910,1704,-270,山东省
201003,10915,1109,4779,566,山东省
201004,12827,-330,6197,-676,山东省
201005,16325,422,9134,75,山东省
201006,19985,-912,12141,-1090,山东省
201007,23837,-228,15436,-305,山东省
201008,25049,-2743,16576,-2878,山东省
201009,25923,-1971,17399,-2144,山东省
201010,26315,-1687,17784,-1802,山东省
201011,26930,-3182,18153,-1739,山东省
201012,29825,403,21038,162,山东省
201101,0,0,0,0,山东省
201102,9610,2181,2303,165,山东省
201103,15718,1987,6419,211,山东省
201104,20152,3124,10072,1012,山东省
201105,24285,2967,13846,1460,山东省
201106,26779,2764,16148,1191,山东省
201107,30216,2898,19368,1680,山东省
201108,32736,2625,21737,1737,山东省
201109,34965,3087,23853,2093,山东省
201110,36923,2990,25536,1956,山东省
201111,38026,2289,26578,1369,山东省
201112,39286,1977,27831,1144,山东省
201201,0,0,0,0,山东省
201202,8025,-1585,2864,561,山东省
201203,14393,-1325,7945,1526,山东省
201204,18199,-1953,11263,1191,山东省
201205,22965,-1320,15661,1815,山东省
201206,23066,-3713,15737,-411,山东省
201207,23271,-6945,15879,-3489,山东省
201208,31012,-1724,23504,1767,山东省
201209,33592,-1373,26077,2224,山东省
201210,35015,-1908,27492,1956,山东省
201211,35864,-2162,28315,1737,山东省
201212,37622,-1671,30061,1825,山东省
201301,0,0,0,0,山东省
201302,8488,463,2889,25,山东省
201303,15393,1000,7914,-31,山东省
201304,18959,760,10941,-322,山东省
201305,23796,831,15403,-258,山东省
201306,25130,2064,16736,999,山东省
201307,28009,4738,19597,3718,山东省
201308,29635,-1377,21191,-2313,山东省
201309,31811,-1781,23158,-2919,山东省
201310,34041,-974,25357,-2135,山东省
201311,35658,-206,26928,-1387,山东省
201312,36868,1348,28122,-491,山东省
201401,0,0,0,0,山东省
201402,9411,923,3035,146,山东省
201403,15947,554,7848,-66,山东省
201404,19919,960,11422,481,山东省
201405,23011,-785,14307,-1096,山东省
201406,27141,2011,18311,1575,山东省
201407,30169,2160,21229,1632,山东省
201408,32475,2840,23498,2307,山东省
201409,34668,2857,25628,2470,山东省
201410,37230,3189,28064,2707,山东省
201411,38570,2912,29258,2330,山东省
201412,0,0,0,0,山东省
201501,0,0,0,0,山东省
201502,9058,-353,2995,-40,山东省
201503,16192,245,8594,746,山东省
201504,20382,463,12376,954,山东省
201505,24874,1863,16793,2486,山东省
201506,28764,1623,20614,2303,山东省
201507,32210,2041,23803,2574,山东省
201508,34919,2444,26453,2955,山东省
201509,37816,3148,29245,3617,山东省
201510,43632,6402,34958,6894,山东省
201511,46540,7970,37795,8537,山东省
201512,49620,10408,40868,10165,山东省
201601,0,0,0,0,山东省
201602,13201,4143,3663,668,山东省
201603,19720,3528,8782,188,山东省
201604,24023,3641,12484,108,山东省
201605,28379,3505,16527,-266,山东省
201606,32173,3409,20165,-449,山东省
201607,36984,4774,24640,837,山东省
201608,40647,5728,28210,1757,山东省
201609,44109,6293,31689,2444,山东省
201610,48992,5360,36324,1366,山东省
201611,52491,5951,39757,1962,山东省
201612,56605,6985,43765,2897,山东省
201701,0,0,0,0,山东省
201702,12609,-592,2597,-1066,山东省
201703,21118,1398,8865,83,山东省
201704,26545,2522,13811,1327,山东省
201705,31602,3223,18637,2110,山东省
201706,35758,3585,22601,2436,山东省
201707,41902,4918,28366,3726,山东省
201708,45393,4746,31752,3542,山东省
201709,49195,5086,35514,3825,山东省
201710,55139,6147,41253,4929,山东省
201711,59235,7045,45449,5853,山东省
201712,62118,6769,48347,5340,山东省
201801,0,0,0,0,山东省
201802,0,0,0,0,山东省
201803,0,0,0,0,山东省
201804,0,0,0,0,山东省
201805,0,0,0,0,山东省
201806,0,0,0,0,山东省
201807,0,0,0,0,山东省
201808,0,0,0,0,山东省
201809,0,0,0,0,山东省
201810,0,0,0,0,山东省
201811,0,0,0,0,山东省
201812,0,0,0,0,山东省
200801,0,0,0,0,河南省
200802,4466,1368,865,319,河南省
200803,7783,2514,3543,1621,河南省
200804,10520,2761,5956,1885,河南省
200805,13127,2822,8360,1898,河南省
200806,16594,3181,11711,2234,河南省
200807,18915,3313,14021,2379,河南省
200808,21281,3915,16372,3010,河南省
200809,23594,4264,18682,3370,河南省
200810,25298,4394,20380,3497,河南省
200811,27448,4264,22529,3378,河南省
200812,29559,5066,24628,4160,河南省
200901,0,0,0,0,河南省
200902,5436,970,1627,762,河南省
200903,9316,1533,4897,1354,河南省
200904,13719,3199,8951,2995,河南省
200905,17934,4807,13025,4665,河南省
200906,22517,5923,17608,5897,河南省
200907,24877,5962,19953,5932,河南省
200908,27425,6144,22501,6129,河南省
200909,30056,6462,25132,6450,河南省
200910,32427,7129,27497,7117,河南省
200911,35095,7647,30165,7636,河南省
200912,36935,7375,31935,7306,河南省
201001,0,0,0,0,河南省
201002,7228,1792,1804,177,河南省
201003,11527,2211,5087,190,河南省
201004,15289,1570,8405,-546,河南省
201005,18591,657,11471,-1554,河南省
201006,22211,-306,14879,-2729,河南省
201007,24204,-673,16807,-3146,河南省
201008,26417,-1008,19003,-3498,河南省
201009,28444,-1612,21017,-4115,河南省
201010,30693,-1734,23254,-4243,河南省
201011,33282,-1813,25843,-4322,河南省
201012,34053,-2836,26614,-5280,河南省
201101,0,0,0,0,河南省
201102,8508,-629,448,-1730,河南省
201103,12111,-2904,2042,-4630,河南省
201104,14989,-4657,3982,-6751,河南省
201105,17856,-6119,6279,-8478,河南省
201106,20862,-7376,8890,-9882,河南省
201107,23012,-7833,10862,-10380,河南省
201108,24909,-8582,12681,-11176,河南省
201109,26703,-9565,14396,-12203,河南省
201110,28638,-10661,16263,-13365,河南省
201111,30762,-11415,18297,-14235,河南省
201112,32092,-10983,19613,-13936,河南省
201201,0,0,0,0,河南省
201202,8392,-116,735,287,河南省
201203,11643,-468,2414,372,河南省
201204,13994,-995,4166,184,河南省
201205,16115,-1741,5825,-454,河南省
201206,18319,-2543,7819,-1071,河南省
201207,20156,-2856,9445,-1417,河南省
201208,21784,-3125,11036,-1645,河南省
201209,23375,-3328,12561,-1835,河南省
201210,24637,-4001,13774,-2489,河南省
201211,26622,-4140,15725,-2572,河南省
201212,28474,-3613,17577,-2034,河南省
201301,0,0,0,0,河南省
201302,7468,-924,261,-474,河南省
201303,10197,-1446,1372,-1042,河南省
201304,12287,-1707,2707,-1459,河南省
201305,14167,-1948,4188,-1637,河南省
201306,16184,-2135,5992,-1827,河南省
201307,17341,-2815,6951,-2494,河南省
201308,18424,-3360,8008,-3028,河南省
201309,19854,-3521,9369,-3192,河南省
201310,21082,-3555,10560,-3214,河南省
201311,22869,-3753,12339,-3386,河南省
201312,24279,-3607,13738,-3540,河南省
201401,0,0,0,0,河南省
201402,7242,-226,307,46,河南省
201403,9527,-670,1139,-233,河南省
201404,11218,-1069,2278,-429,河南省
201405,13023,-1144,3721,-467,河南省
201406,15076,-1108,5516,-476,河南省
201407,16637,-704,6985,34,河南省
201408,17968,-456,8256,248,河南省
201409,19354,-500,9571,202,河南省
201410,20935,-147,11123,563,河南省
201411,23003,134,13152,813,河南省
201412,0,0,0,0,河南省
201501,0,0,0,0,河南省
201502,6736,-506,176,-131,河南省
201503,9025,-502,987,-152,河南省
201504,11011,-207,1951,-327,河南省
201505,12907,-116,3436,-285,河南省
201506,14824,-252,5151,-365,河南省
201507,16544,-93,6774,-211,河南省
201508,18167,199,8305,49,河南省
201509,19616,262,9710,139,河南省
201510,21169,234,11240,117,河南省
201511,22705,-298,12743,-409,河南省
201512,24083,-519,14061,-626,河南省
201601,0,0,0,0,河南省
201602,6656,-80,429,253,河南省
201603,7812,-1213,1547,560,河南省
201604,9589,-1422,3238,1287,河南省
201605,11549,-1358,5098,1662,河南省
201606,13453,-1371,6983,1832,河南省
201607,15445,-1099,8907,2133,河南省
201608,17075,-1092,10498,2193,河南省
201609,19070,-546,12467,2757,河南省
201610,20947,-222,14328,3088,河南省
201611,22912,207,16274,3531,河南省
201612,24602,519,17959,3898,河南省
201701,0,0,0,0,河南省
201702,7286,630,345,-84,河南省
201703,9069,1257,1265,-282,河南省
201704,10943,1354,2760,-478,河南省
201705,12862,1313,4401,-697,河南省
201706,15426,1973,6756,-227,河南省
201707,17030,1585,8303,-604,河南省
201708,21633,4558,12841,2343,河南省
201709,26086,7016,17239,4772,河南省
201710,32686,11739,23808,9480,河南省
201711,38657,15745,29745,13471,河南省
201712,41325,16723,32403,14444,河南省
201801,0,0,0,0,河南省
201802,0,0,0,0,河南省
201803,0,0,0,0,河南省
201804,0,0,0,0,河南省
201805,0,0,0,0,河南省
201806,0,0,0,0,河南省
201807,0,0,0,0,河南省
201808,0,0,0,0,河南省
201809,0,0,0,0,河南省
201810,0,0,0,0,河南省
201811,0,0,0,0,河南省
201812,0,0,0,0,河南省
200801,0,0,0,0,湖北省
200802,2048,288,401,23,湖北省
200803,4202,567,1796,206,湖北省
200804,5743,787,3052,468,湖北省
200805,7152,1082,4272,732,湖北省
200806,9349,1513,6229,1088,湖北省
200807,10195,1649,7011,1214,湖北省
200808,11023,1804,7798,1362,湖北省
200809,12156,2134,8889,1689,湖北省
200810,13015,2314,9720,1873,湖北省
200811,14111,2673,10767,2213,湖北省
200812,14316,1756,10964,1419,湖北省
200901,0,0,0,0,湖北省
200902,2468,420,796,395,湖北省
200903,5218,1016,2820,1024,湖北省
200904,7378,1635,4599,1547,湖北省
200905,9761,2609,6786,2514,湖北省
200906,13010,3661,9810,3581,湖北省
200907,14265,4070,10990,3979,湖北省
200908,15531,4508,12202,4404,湖北省
200909,17213,5057,13794,4905,湖北省
200910,18517,5502,15041,5321,湖北省
200911,19836,5725,16314,5547,湖北省
200912,20938,5515,17361,5432,湖北省
201001,0,0,0,0,湖北省
201002,3000,532,797,1,湖北省
201003,6801,1583,3463,643,湖北省
201004,9052,1674,5308,709,湖北省
201005,11503,1742,7426,640,湖北省
201006,15045,2035,10628,818,湖北省
201007,16291,2026,11835,845,湖北省
201008,17417,1886,12924,722,湖北省
201009,18697,1484,14112,318,湖北省
201010,19922,1405,15300,259,湖北省
201011,21588,1752,16942,628,湖北省
201012,23721,2787,18957,1600,湖北省
201101,0,0,0,0,湖北省
201102,3583,1144,715,200,湖北省
201103,7913,2495,3929,1491,湖北省
201104,10764,3742,6491,2801,湖北省
201105,13666,4963,9133,4077,湖北省
201106,17515,6237,12659,5318,湖北省
201107,18776,6704,13899,5802,湖北省
201108,19968,7089,15012,6157,湖北省
201109,21257,7673,16242,6724,湖北省
201110,22371,7993,17283,7001,湖北省
201111,24785,9320,19622,8274,湖北省
201112,26170,9244,20869,8136,湖北省
201201,0,0,0,0,湖北省
201202,3834,251,663,-52,湖北省
201203,7677,-236,3193,-736,湖北省
201204,9862,-902,4982,-1509,湖北省
201205,10759,-2907,5814,-3319,湖北省
201206,12204,-5311,7110,-5549,湖北省
201207,13560,-5216,8462,-5437,湖北省
201208,14203,-5765,9070,-5942,湖北省
201209,15726,-5531,10515,-5727,湖北省
201210,15861,-6510,10573,-6710,湖北省
201211,16432,-8353,11100,-8522,湖北省
201212,18395,-7631,13002,-7815,湖北省
201301,0,0,0,0,湖北省
201302,3880,46,224,-439,湖北省
201303,7102,-575,1972,-1221,湖北省
201304,8902,-960,3590,-1392,湖北省
201305,10502,-257,5163,-651,湖北省
201306,12198,-6,6838,-272,湖北省
201307,12730,-830,7306,-1156,湖北省
201308,13944,-259,8196,-874,湖北省
201309,16734,1008,10913,398,湖北省
201310,16862,1001,11026,453,湖北省
201311,18548,2116,12650,1550,湖北省
201312,18651,261,12663,-1231,湖北省
201401,0,0,0,0,湖北省
201402,5923,2043,501,277,湖北省
201403,8685,1583,2298,326,湖北省
201404,10134,1232,3675,85,湖北省
201405,12075,1573,5443,280,湖北省
201406,13355,1157,6712,-126,湖北省
201407,14221,1491,7562,256,湖北省
201408,15782,1838,9116,920,湖北省
201409,16505,-229,9830,-1083,湖北省
201410,17357,495,10636,-390,湖北省
201411,17895,-653,11083,-1567,湖北省
201412,0,0,0,0,湖北省
201501,0,0,0,0,湖北省
201502,5743,-180,413,-88,湖北省
201503,9805,1120,2479,181,湖北省
201504,10381,247,3017,-658,湖北省
201505,11289,-786,3777,-1666,湖北省
201506,12965,-390,5360,-1352,湖北省
201507,13999,-222,6391,-1171,湖北省
201508,14695,-1087,7025,-2091,湖北省
201509,16045,-460,8318,-1512,湖北省
201510,16732,-625,8864,-1772,湖北省
201511,17606,-289,9682,-1401,湖北省
201512,18689,-1043,10717,-2184,湖北省
201601,0,0,0,0,湖北省
201602,6391,648,1319,906,湖北省
201603,10633,828,4311,1832,湖北省
201604,13288,2907,6514,3497,湖北省
201605,15779,4490,8707,4930,湖北省
201606,19436,6471,12075,6715,湖北省
201607,20409,6410,13005,6614,湖北省
201608,21482,6787,14177,7152,湖北省
201609,23423,7378,16062,7744,湖北省
201610,24393,7661,17043,8179,湖北省
201611,26568,8962,19179,9497,湖北省
201612,29367,10678,21863,9946,湖北省
201701,0,0,0,0,湖北省
201702,6970,579,691,-628,湖北省
201703,11879,1246,3684,-627,湖北省
201704,15119,1831,6322,-192,湖北省
201705,17612,1833,8664,-43,湖北省
201706,22908,3472,13403,1328,湖北省
201707,24485,4076,14914,1909,湖北省
201708,26024,4542,16434,2257,湖北省
201709,28067,4644,18354,2292,湖北省
201710,29922,5529,20081,3038,湖北省
201711,31986,5418,22122,2943,湖北省
201712,34446,5364,24485,2805,湖北省
201801,0,0,0,0,湖北省
201802,0,0,0,0,湖北省
201803,0,0,0,0,湖北省
201804,0,0,0,0,湖北省
201805,0,0,0,0,湖北省
201806,0,0,0,0,湖北省
201807,0,0,0,0,湖北省
201808,0,0,0,0,湖北省
201809,0,0,0,0,湖北省
201810,0,0,0,0,湖北省
201811,0,0,0,0,湖北省
201812,0,0,0,0,湖北省
200801,0,0,0,0,湖南省
200802,2906,589,799,457,湖南省
200803,5453,569,1999,305,湖南省
200804,6648,228,2987,-38,湖南省
200805,7907,215,4010,-104,湖南省
200806,10269,428,5861,111,湖南省
200807,11539,632,6972,315,湖南省
200808,13116,1158,8543,835,湖南省
200809,14214,1398,9445,879,湖南省
200810,15715,1756,10911,1202,湖南省
200811,17326,2112,12516,1552,湖南省
200812,18611,3027,13697,1829,湖南省
200901,0,0,0,0,湖南省
200902,3760,854,1025,226,湖南省
200903,7028,1575,3331,1332,湖南省
200904,8653,2005,4620,1633,湖南省
200905,10708,2801,6344,2334,湖南省
200906,14129,3860,9006,3145,湖南省
200907,15303,3764,10168,3196,湖南省
200908,17300,4184,12156,3613,湖南省
200909,19014,4800,13733,4288,湖南省
200910,19014,3299,13733,2822,湖南省
200911,20002,2676,14721,2205,湖南省
200912,20432,1818,15143,485,湖南省
201001,0,0,0,0,湖南省
201002,2610,-1150,444,-581,湖南省
201003,6028,-1000,2468,-863,湖南省
201004,7884,-769,4052,-568,湖南省
201005,10411,-297,5970,-374,湖南省
201006,13571,-558,8897,-109,湖南省
201007,14709,-594,10000,-168,湖南省
201008,16089,-1211,11319,-837,湖南省
201009,17919,-1095,13090,-643,湖南省
201010,18994,-20,14165,432,湖南省
201011,20405,403,15576,855,湖南省
201012,21935,2953,17106,1963,湖南省
201101,0,0,0,0,湖南省
201102,4572,-79,1124,56,湖南省
201103,7759,-568,3590,-253,湖南省
201104,10647,-432,6079,-134,湖南省
201105,13450,-121,8660,300,湖南省
201106,16319,-1142,11331,-667,湖南省
201107,17768,-1613,12696,-1164,湖南省
201108,19586,-1690,14455,-1212,湖南省
201109,21469,-2202,16300,-1696,湖南省
201110,23012,-2662,17801,-2140,湖南省
201111,24754,-3098,19534,-2578,湖南省
201112,26341,-4432,21020,-3934,湖南省
201201,0,0,0,0,湖南省
201202,5755,1183,1585,461,湖南省
201203,9191,1432,4244,654,湖南省
201204,12963,2316,7773,1694,湖南省
201205,14828,1378,9637,977,湖南省
201206,15215,-1104,10007,-1324,湖南省
201207,16090,-1678,10877,-1819,湖南省
201208,19581,-5,14367,-88,湖南省
201209,19723,-1746,14412,-1888,湖南省
201210,21071,-1941,15276,-2525,湖南省
201211,23125,-1629,17292,-2242,湖南省
201212,25549,-802,19662,-1358,湖南省
201301,0,0,0,0,湖南省
201302,6331,576,1410,-175,湖南省
201303,8591,-600,3587,-657,湖南省
201304,13611,648,7204,-569,湖南省
201305,16011,1183,9601,-36,湖南省
201306,17440,2225,10673,666,湖南省
201307,18104,2014,11304,427,湖南省
201308,20764,1183,13946,-421,湖南省
201309,22573,2850,15657,1245,湖南省
201310,23935,2864,16956,1680,湖南省
201311,25717,2592,18654,1362,湖南省
201312,28043,2497,20844,1185,湖南省
201401,0,0,0,0,湖南省
201402,7336,1005,1444,34,湖南省
201403,11315,2724,3917,330,湖南省
201404,15506,1895,7757,553,湖南省
201405,18331,2320,10346,745,湖南省
201406,19574,2134,11393,720,湖南省
201407,20639,2535,12400,1096,湖南省
201408,23594,2830,15262,1316,湖南省
201409,25417,2844,17007,1350,湖南省
201410,26473,2538,17956,1000,湖南省
201411,27471,1754,18850,196,湖南省
201412,0,0,0,0,湖南省
201501,0,0,0,0,湖南省
201502,7279,-57,1362,-82,湖南省
201503,11552,237,4236,319,湖南省
201504,16337,831,8556,799,湖南省
201505,20062,1731,11990,1644,湖南省
201506,21831,2257,13552,2159,湖南省
201507,22295,1656,13923,1523,湖南省
201508,24234,640,15803,541,湖南省
201509,26386,969,17883,876,湖南省
201510,28305,1832,19768,1812,湖南省
201511,30501,3030,21951,3101,湖南省
201512,31940,322,23213,354,湖南省
201601,0,0,0,0,湖南省
201602,10377,3098,3851,2489,湖南省
201603,15886,4334,8319,4083,湖南省
201604,21567,5230,13213,4657,湖南省
201605,26092,6030,17464,5474,湖南省
201606,30732,8901,21840,8288,湖南省
201607,30755,8460,21850,7927,湖南省
201608,33514,9280,23197,7394,湖南省
201609,36162,9776,25758,7875,湖南省
201610,42796,14491,33819,14051,湖南省
201611,46591,16090,37606,15655,湖南省
201612,49962,11022,40912,10699,湖南省
201701,0,0,0,0,湖南省
201702,13794,3417,3222,-629,湖南省
201703,20666,4780,8367,48,湖南省
201704,26523,4956,13277,64,湖南省
201705,31574,5482,17590,126,湖南省
201706,37114,6382,22945,1105,湖南省
201707,38540,7785,24512,2662,湖南省
201708,41327,7813,27200,4003,湖南省
201709,44906,8744,30746,4988,湖南省
201710,49217,6421,34985,1166,湖南省
201711,53629,7038,39445,1839,湖南省
201712,58178,8216,43966,3054,湖南省
201801,0,0,0,0,湖南省
201802,0,0,0,0,湖南省
201803,0,0,0,0,湖南省
201804,0,0,0,0,湖南省
201805,0,0,0,0,湖南省
201806,0,0,0,0,湖南省
201807,0,0,0,0,湖南省
201808,0,0,0,0,湖南省
201809,0,0,0,0,湖南省
201810,0,0,0,0,湖南省
201811,0,0,0,0,湖南省
201812,0,0,0,0,湖南省
200801,0,0,0,0,广东省
200802,4417,-282,1065,25,广东省
200803,6167,-267,2119,-92,广东省
200804,7282,-371,2972,-227,广东省
200805,8357,-369,3875,-190,广东省
200806,9859,-309,5193,-153,广东省
200807,10751,-69,5964,59,广东省
200808,11519,-209,6694,-46,广东省
200809,12696,916,7769,1015,广东省
200810,13705,-809,8714,-521,广东省
200811,15058,-956,10007,-661,广东省
200812,17346,569,12078,989,广东省
200901,0,0,0,0,广东省
200902,5008,591,922,-143,广东省
200903,6483,316,2250,131,广东省
200904,7906,624,3252,280,广东省
200905,8984,627,4299,424,广东省
200906,10708,849,5802,609,广东省
200907,11688,937,6741,777,广东省
200908,12882,1363,7889,1195,广东省
200909,14402,1706,9295,1526,广东省
200910,15839,2134,10489,1775,广东省
200911,17278,2220,11897,1890,广东省
200912,19970,2439,14248,1977,广东省
201001,0,0,0,0,广东省
201002,5508,500,1406,484,广东省
201003,7608,1125,2669,419,广东省
201004,8955,1049,3716,464,广东省
201005,10597,1613,5123,824,广东省
